{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 187155
	0	0.0
d1,r1,r3	1	5.34316475649e-06
d2,d4,r2	7	3.74021532954e-05
d4,r4	55	0.000293874061607
d2,d4,r4	27	0.000144265448425
d2,d3,d4,r2,r3,r4	1	5.34316475649e-06
d1,r1,r4	3	1.60294942695e-05
d2,d3,d4,r2,r4	8	4.27453180519e-05
d1,d2,d4,r2	2	1.0686329513e-05
d2,d3,d4,r2	19	0.000101520130373
d2,d3,d4,r3	6	3.20589885389e-05
d2,d3,d4,r4	65	0.000347305709172
d2,d3,d4,r1,r2,r4	2	1.0686329513e-05
d2,d3,d4,r1,r2	3	1.60294942695e-05
d1,d4,r4	11	5.87748123213e-05
d1,d2,d3,r1,r2,r4	1	5.34316475649e-06
d3,r3	2	1.0686329513e-05
d4,r2,r4	1	5.34316475649e-06
d1,d3,d4,r2,r3,r4	1	5.34316475649e-06
d4,r3,r4	1	5.34316475649e-06
d2,d3,d4,r1,r2,r3,r4	1	5.34316475649e-06
d2,d3,d4,r1,r4	17	9.08338008602e-05
d4,r1,r4	1	5.34316475649e-06
d1,d4,r1	2	1.0686329513e-05
d2,d3,r3	2	1.0686329513e-05
d2,d3,r2	9	4.80884828084e-05
d1,d2,d3,d4,r4	974	0.00520424247282
d1,d3,d4,r1	2	1.0686329513e-05
d1,r1,r2	1	5.34316475649e-06
d1,d2,d3,r3	1	5.34316475649e-06
d2,r1,r2,r4	1	5.34316475649e-06
d1,d2,d3,d4,r1	365	0.00195025513612
d1,d2,d3,d4,r2	86	0.000459512169058
d1,d2,d3,d4,r3	8	4.27453180519e-05
d1,d2,d3,r1,r2,r3,r4	1	5.34316475649e-06
d3,d4,r4	9	4.80884828084e-05
d1,d2,d4,r2,r4	2	1.0686329513e-05
d1,d2,d4,r3,r4	1	5.34316475649e-06
d3,d4,r3	2	1.0686329513e-05
d1,d2,d3,d4,r3,r4	2	1.0686329513e-05
d2,d3,d4,r1,r3,r4	1	5.34316475649e-06
d1,d2,r1	11	5.87748123213e-05
d1,d4,r3,r4	2	1.0686329513e-05
d1,d2,r2	2	1.0686329513e-05
d2,r2	11	5.87748123213e-05
d1,d3,r3,r4	1	5.34316475649e-06
d1,d3,r1	4	2.13726590259e-05
d2,d3,d4,r3,r4	2	1.0686329513e-05
d1,d2,d3,r3,r4	1	5.34316475649e-06
d1,d2,d4,r1,r4	4	2.13726590259e-05
d2,d3,r2,r3	1	5.34316475649e-06
d2,d3,r2,r4	1	5.34316475649e-06
d1,d2,d3,d4,r2,r3,r4	3	1.60294942695e-05
d1,d2,d4,r4	69	0.000368678368197
d1,r1	28	0.000149608613182
d1,d2,d3,d4,r1,r4	203	0.00108466244557
d1,d2,d3,d4,r1,r2	14	7.48043065908e-05
d1,d2,d4,r1	13	6.94611418343e-05
d1,d2,d3,d4,r1,r3,r4	7	3.74021532954e-05
d1,d2,d3,r2	2	1.0686329513e-05
d1,d4,r1,r3	1	5.34316475649e-06
d1,d2,d3,r1,r4	4	2.13726590259e-05
d1,d3,d4,r1,r2	1	5.34316475649e-06
d1,d3,d4,r4	10	5.34316475649e-05
d1,d2,d3,r1,r3	1	5.34316475649e-06
d1,d4,r1,r4	1	5.34316475649e-06
d1,d2,d3,d4,r1,r2,r3,r4	18	9.61769656167e-05
d1,d2,d3,d4,r2,r4	64	0.000341962544415
no_correspondence	184876	0.98782292752
d1,d2,d3,d4,r1,r2,r4	76	0.000406080521493
d1,d2,d4,r1,r3,r4	1	5.34316475649e-06
d3,d4,r1,r3,r4	1	5.34316475649e-06
d1,d2,d3,d4,r1,r2,r3	2	1.0686329513e-05
d1,d2,d3,r1	6	3.20589885389e-05
d1,r1,r3,r4	1	5.34316475649e-06
d1,d2,d4,r1,r2,r3,r4	1	5.34316475649e-06
d3,d4,r3,r4	2	1.0686329513e-05
d2,r2,r4	5	2.67158237824e-05
d1,d2,d3,d4,r1,r3	1	5.34316475649e-06
