# Gene Family	11507229_rna_1-RPKs
UNMAPPED	5142335.0000000000
UniRef90_E4W3C5	3022079.6852921592
UniRef90_E4W3C5|g__Bacteroides.s__Bacteroides_fragilis	3022079.6852921592
UniRef90_A7V4G2	1093660.7817278588
UniRef90_A7V4G2|g__Bacteroides.s__Bacteroides_uniformis	1093660.7817278588
UniRef90_A7V2K8	661936.0191071308
UniRef90_A7V2K8|g__Bacteroides.s__Bacteroides_uniformis	661936.0191071308
UniRef90_A7V4G1	453695.9528223942
UniRef90_A7V4G1|g__Bacteroides.s__Bacteroides_uniformis	453695.9528223942
UniRef90_unknown	452828.1305148097
UniRef90_unknown|g__Bacteroides.s__Bacteroides_fragilis	265106.5637672729
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	61987.3695333603
UniRef90_unknown|g__Bacteroides.s__Bacteroides_intestinalis	23088.4477010340
UniRef90_unknown|g__Bacteroides.s__Bacteroides_massiliensis	21291.2771557691
UniRef90_unknown|g__Bacteroides.s__Bacteroides_ovatus	11462.5386496961
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	10570.9233687398
UniRef90_unknown|g__Bacteroides.s__Bacteroides_caccae	9082.2740423491
UniRef90_unknown|g__Clostridium.s__Clostridium_citroniae	6454.0748022639
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	5572.0262394440
UniRef90_unknown|g__Bacteroides.s__Bacteroides_xylanisolvens	4367.0924855062
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_callidus	2651.7934104220
UniRef90_unknown|g__Alistipes.s__Alistipes_sp_HGB5	2603.6877581462
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_distasonis	2540.8246806582
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	2255.5102025241
UniRef90_unknown|g__Alistipes.s__Alistipes_putredinis	2061.3299387039
UniRef90_unknown|g__Bacteroides.s__Bacteroides_nordii	2044.7512126081
UniRef90_unknown|g__Alistipes.s__Alistipes_shahii	2018.1305767814
UniRef90_unknown|g__Alistipes.s__Alistipes_onderdonkii	1905.5642194864
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_merdae	1578.7827269923
UniRef90_unknown|g__Alistipes.s__Alistipes_finegoldii	1559.1678276962
UniRef90_unknown|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1378.4041230378
UniRef90_unknown|g__Roseburia.s__Roseburia_hominis	1236.2292163164
UniRef90_unknown|g__Roseburia.s__Roseburia_inulinivorans	1167.3959734061
UniRef90_unknown|g__Roseburia.s__Roseburia_intestinalis	1093.4213029538
UniRef90_unknown|g__Alistipes.s__Alistipes_senegalensis	905.7342450003
UniRef90_unknown|g__Bacteroides.s__Bacteroides_thetaiotaomicron	905.1599049921
UniRef90_unknown|g__Odoribacter.s__Odoribacter_splanchnicus	748.4776749512
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	708.7239746572
UniRef90_unknown|g__Collinsella.s__Collinsella_aerofaciens	601.5499308532
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	404.5400964295
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	404.1911712181
UniRef90_unknown|g__Blautia.s__Ruminococcus_obeum	338.4961908888
UniRef90_unknown|g__Eubacterium.s__Eubacterium_ramulus	240.6711785927
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	211.6812338703
UniRef90_unknown|g__Clostridium.s__Clostridium_bolteae	202.5065151150
UniRef90_unknown|g__Eubacterium.s__Eubacterium_siraeum	200.8330899293
UniRef90_unknown|g__Blautia.s__Ruminococcus_torques	196.7644150087
UniRef90_unknown|g__Eubacterium.s__Eubacterium_hallii	192.9002505023
UniRef90_unknown|g__Eubacterium.s__Eubacterium_eligens	164.0418501020
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_lactaris	156.8341438021
UniRef90_unknown|g__Clostridium.s__Clostridium_hathewayi	144.0314663961
UniRef90_unknown|g__Coprococcus.s__Coprococcus_comes	143.3550585160
UniRef90_unknown|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	141.6422494218
UniRef90_unknown|g__Dorea.s__Dorea_formicigenerans	102.5998007939
UniRef90_unknown|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	98.5437861314
UniRef90_unknown|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	85.1196442022
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	76.0773862699
UniRef90_unknown|g__Clostridium.s__Clostridium_leptum	67.9004898144
UniRef90_unknown|g__Anaerostipes.s__Anaerostipes_hadrus	67.8874145113
UniRef90_unknown|g__Parasutterella.s__Parasutterella_excrementihominis	62.8462742828
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	38.2237580890
UniRef90_unknown|g__Alistipes.s__Alistipes_indistinctus	35.8111203620
UniRef90_unknown|g__Oxalobacter.s__Oxalobacter_formigenes	30.3218177758
