# Gene Family	11507229_rna_4-RPKs
UniRef90_T5LYP9|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	93.9824052240
UniRef90_J7TUV6	91.0831688261
UniRef90_J7TUV6|g__Streptococcus.s__Streptococcus_salivarius	91.0831688261
UniRef90_A5KL05	84.3787915554
UniRef90_A5KL05|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	55.9645717059
UniRef90_A5KL05|g__Blautia.s__Ruminococcus_torques	28.4142198496
UniRef90_R9HTU6	83.7912378828
UniRef90_R9HTU6|g__Bacteroides.s__Bacteroides_uniformis	83.7912378828
UniRef90_C0BF72	81.6326530612
UniRef90_C0BF72|g__Coprococcus.s__Coprococcus_comes	81.6326530612
UniRef90_O63701	75.6479807113
UniRef90_O63701|unclassified	75.6479807113
UniRef90_C7H679	71.4285714286
UniRef90_C7H679|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	71.4285714286
UniRef90_A8S7R2	68.7022900763
UniRef90_A8S7R2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	68.7022900763
UniRef90_D4LUC2	59.6657690550
UniRef90_D4LUC2|g__Blautia.s__Ruminococcus_obeum	59.6657690550
UniRef90_A5ZYV3	59.1844527375
UniRef90_A5ZYV3|g__Blautia.s__Ruminococcus_obeum	59.1844527375
UniRef90_U2LZK2	58.0912863071
UniRef90_U2LZK2|g__Ruminococcus.s__Ruminococcus_callidus	58.0912863071
UniRef90_C7GIH2	57.6923076923
UniRef90_C7GIH2|g__Roseburia.s__Roseburia_intestinalis	57.6923076923
UniRef90_A5Z2Z7	57.5417840790
UniRef90_A5Z2Z7|g__Dorea.s__Dorea_longicatena	57.5417840790
UniRef90_A5KRH1	57.3248407643
UniRef90_A5KRH1|g__Blautia.s__Ruminococcus_torques	57.3248407643
UniRef90_UPI0001532979	52.7772443836
UniRef90_UPI0001532979|g__Clostridium.s__Clostridium_scindens	37.1431897933
UniRef90_UPI0001532979|g__Ruminococcus.s__Ruminococcus_lactaris	11.2092758292
UniRef90_UPI0001532979|g__Blautia.s__Ruminococcus_torques	4.4247787611
UniRef90_A5ZBN2	52.6315789474
UniRef90_A5ZBN2|g__Bacteroides.s__Bacteroides_caccae	52.6315789474
UniRef90_A6BKX8	50.3597122302
UniRef90_A6BKX8|g__Dorea.s__Dorea_longicatena	50.3597122302
UniRef90_P54634	46.6821961304
UniRef90_P54634|unclassified	46.6821961304
UniRef90_R5K264	46.6472303207
UniRef90_R5K264|g__Bacteroides.s__Bacteroides_stercoris	46.6472303207
UniRef90_UPI0001A5D116	45.4545454545
UniRef90_UPI0001A5D116|g__Bifidobacterium.s__Bifidobacterium_longum	45.4545454545
UniRef90_C3R491	43.6681222707
UniRef90_C3R491|g__Bacteroides.s__Bacteroides_intestinalis	21.8340611354
UniRef90_C3R491|g__Bacteroides.s__Bacteroides_uniformis	21.8340611354
UniRef90_A5ZYV6	42.7790473492
UniRef90_A5ZYV6|g__Blautia.s__Ruminococcus_obeum	42.7790473492
UniRef90_A6L9X9	42.6136363636
UniRef90_A6L9X9|g__Bacteroides.s__Bacteroides_dorei	42.6136363636
UniRef90_A1A270	41.1017110902
UniRef90_A1A270|g__Bifidobacterium.s__Bifidobacterium_adolescentis	41.1017110902
UniRef90_A7A2I8	40.6135844253
UniRef90_A7A2I8|g__Bifidobacterium.s__Bifidobacterium_adolescentis	40.6135844253
UniRef90_R6JES1	38.5478578581
UniRef90_R6JES1|g__Bacteroides.s__Bacteroides_caccae	38.5478578581
UniRef90_D0TLK8	36.8098159509
UniRef90_D0TLK8|g__Bacteroides.s__Bacteroides_ovatus	36.8098159509
UniRef90_A7LQH0	36.3636363636
UniRef90_A7LQH0|g__Bacteroides.s__Bacteroides_ovatus	36.3636363636
UniRef90_A7V2M8	36.1003748195
UniRef90_A7V2M8|g__Bacteroides.s__Bacteroides_uniformis	36.1003748195
UniRef90_A8S6F0	35.2554768727
UniRef90_A8S6F0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	35.2554768727
UniRef90_F3R5J3	33.7078651685
UniRef90_F3R5J3|g__Enterococcus.s__Enterococcus_faecalis	33.7078651685
UniRef90_UPI0001FABDB5	32.5898469356
UniRef90_UPI0001FABDB5|g__Dorea.s__Dorea_longicatena	32.5898469356
UniRef90_D4VB58	32.2580645161
UniRef90_D4VB58|g__Bacteroides.s__Bacteroides_vulgatus	32.2580645161
UniRef90_UPI00015E6A9A	30.9734513274
UniRef90_UPI00015E6A9A|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	30.9734513274
UniRef90_L2CS94	30.1369863014
UniRef90_L2CS94|g__Escherichia.s__Escherichia_coli	30.1369863014
UniRef90_B0NWG0	28.8614905333
UniRef90_B0NWG0|g__Bacteroides.s__Bacteroides_stercoris	28.8614905333
UniRef90_B2UMR7	28.0373831776
UniRef90_B2UMR7|g__Akkermansia.s__Akkermansia_muciniphila	28.0373831776
UniRef90_D4IMJ2	28.0373831776
UniRef90_D4IMJ2|g__Alistipes.s__Alistipes_shahii	28.0373831776
UniRef90_M4WIM0	27.9360252544
UniRef90_M4WIM0|unclassified	27.9360252544
UniRef90_A7A2J0	27.5229357798
UniRef90_A7A2J0|g__Bifidobacterium.s__Bifidobacterium_adolescentis	27.5229357798
UniRef90_Q8JXI4	25.6575592422
UniRef90_Q8JXI4|unclassified	25.6575592422
UniRef90_A5ZYK6	24.8646068129
UniRef90_A5ZYK6|g__Blautia.s__Ruminococcus_obeum	24.8646068129
UniRef90_Q5L8B5	24.8415114613
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_uniformis	23.4375000000
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_massiliensis	1.4040114613
UniRef90_D4K336	24.7349823322
UniRef90_D4K336|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	24.7349823322
UniRef90_D4INR6	23.4375000000
UniRef90_D4INR6|g__Alistipes.s__Alistipes_shahii	23.4375000000
UniRef90_Q8A475	23.3644859813
UniRef90_Q8A475|g__Bacteroides.s__Bacteroides_massiliensis	23.3644859813
UniRef90_E4NXK9	22.9508196721
UniRef90_E4NXK9|g__Bifidobacterium.s__Bifidobacterium_adolescentis	22.9508196721
UniRef90_B0NER4	22.8602133482
UniRef90_B0NER4|g__Clostridium.s__Clostridium_scindens	22.8602133482
UniRef90_D6E7S7	21.9780219780
UniRef90_D6E7S7|g__Eggerthella.s__Eggerthella_lenta	21.9780219780
UniRef90_D4KLU4	21.9123505976
UniRef90_D4KLU4|g__Roseburia.s__Roseburia_intestinalis	21.9123505976
UniRef90_D4K653	19.5652173913
UniRef90_D4K653|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	19.5652173913
UniRef90_C0BF71	19.2307692308
UniRef90_C0BF71|g__Coprococcus.s__Coprococcus_comes	19.2307692308
UniRef90_R7FDA7	18.3673469388
UniRef90_R7FDA7|g__Ruminococcus.s__Ruminococcus_callidus	18.3673469388
UniRef90_B0G8L7	18.1818181818
UniRef90_B0G8L7|g__Dorea.s__Dorea_formicigenerans	18.1818181818
UniRef90_R5ZIG3	17.9775280899
UniRef90_R5ZIG3|g__Collinsella.s__Collinsella_aerofaciens	17.9775280899
UniRef90_R5W1D9	17.7383592018
UniRef90_R5W1D9|g__Alistipes.s__Alistipes_shahii	17.7383592018
UniRef90_R7JKW6	17.5324675325
UniRef90_R7JKW6|g__Alistipes.s__Alistipes_finegoldii	8.7700759432
UniRef90_R7JKW6|g__Alistipes.s__Alistipes_shahii	8.7623915892
UniRef90_A6L7D4	17.1919770774
UniRef90_A6L7D4|g__Bacteroides.s__Bacteroides_vulgatus	11.4613180516
UniRef90_A6L7D4|g__Bacteroides.s__Bacteroides_dorei	5.7306590258
UniRef90_U2KV00	16.5745856354
UniRef90_U2KV00|g__Ruminococcus.s__Ruminococcus_callidus	16.5745856354
UniRef90_R6J7A0	16.4256559880
UniRef90_R6J7A0|g__Bacteroides.s__Bacteroides_caccae	16.4256559880
UniRef90_D4IKA9	16.2748643761
UniRef90_D4IKA9|g__Alistipes.s__Alistipes_shahii	16.2748643761
UniRef90_L0CZD0	16.1943319838
UniRef90_L0CZD0|g__Enterococcus.s__Enterococcus_faecalis	16.1943319838
UniRef90_F7L7V6	15.5440414508
UniRef90_F7L7V6|g__Bacteroides.s__Bacteroides_ovatus	15.5440414508
UniRef90_I9JA28	14.7540983607
UniRef90_I9JA28|g__Bacteroides.s__Bacteroides_uniformis	14.7540983607
UniRef90_R7JR95	14.6443514644
UniRef90_R7JR95|g__Alistipes.s__Alistipes_putredinis	14.6443514644
UniRef90_D4JY40	14.4578313253
UniRef90_D4JY40|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	14.4578313253
UniRef90_I3YMA0	14.1342756184
UniRef90_I3YMA0|g__Alistipes.s__Alistipes_finegoldii	14.1342756184
UniRef90_Q5M0X3	13.9534883721
UniRef90_Q5M0X3|g__Streptococcus.s__Streptococcus_salivarius	13.9534883721
UniRef90_A8S9X2	13.8462194914
UniRef90_A8S9X2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	13.8462194914
UniRef90_A6KZ78	13.7931034483
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_stercoris	13.7931034483
UniRef90_R5WIY4	13.2743362832
UniRef90_R5WIY4|g__Alistipes.s__Alistipes_shahii	13.2743362832
UniRef90_R7EL18	13.2325141777
UniRef90_R7EL18|g__Bacteroides.s__Bacteroides_uniformis	13.2325141777
UniRef90_R5WKA3	13.1291028446
UniRef90_R5WKA3|g__Alistipes.s__Alistipes_shahii	13.1291028446
UniRef90_B5CLP7	12.9375082741
UniRef90_B5CLP7|g__Ruminococcus.s__Ruminococcus_lactaris	12.9375082741
UniRef90_F7LMS8	12.8755364807
UniRef90_F7LMS8|g__Bacteroides.s__Bacteroides_dorei	12.8755364807
UniRef90_A5ZQM3	12.6050420168
UniRef90_A5ZQM3|g__Blautia.s__Ruminococcus_obeum	12.6050420168
UniRef90_E2ZMJ5	12.5490428028
UniRef90_E2ZMJ5|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	12.5490428028
UniRef90_A5KMC2	12.4729225972
UniRef90_A5KMC2|g__Blautia.s__Ruminococcus_torques	12.4729225972
UniRef90_T2BHQ8	12.1951219512
UniRef90_T2BHQ8|g__Bacteroides.s__Bacteroides_ovatus	12.1951219512
UniRef90_Q5L8B6	11.9575296349
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_massiliensis	11.9575296349
UniRef90_Q8ABZ4	11.7647058824
UniRef90_Q8ABZ4|g__Bacteroides.s__Bacteroides_vulgatus	7.5721096596
UniRef90_Q8ABZ4|g__Bacteroides.s__Bacteroides_dorei	4.1925962227
UniRef90_D4ILF2	11.6618075802
UniRef90_D4ILF2|g__Alistipes.s__Alistipes_shahii	11.6618075802
UniRef90_Q8A466	11.5321252059
UniRef90_Q8A466|g__Bacteroides.s__Bacteroides_ovatus	11.5321252059
UniRef90_I8YDX1	11.3636363636
UniRef90_I8YDX1|g__Bacteroides.s__Bacteroides_ovatus	11.3636363636
UniRef90_F9ZCL3	11.3250283126
UniRef90_F9ZCL3|g__Alistipes.s__Alistipes_finegoldii	11.3250283126
UniRef90_R7EIF2	11.2704918033
UniRef90_R7EIF2|g__Bacteroides.s__Bacteroides_uniformis	11.2704918033
UniRef90_R7EG02	11.1731843575
UniRef90_R7EG02|g__Bacteroides.s__Bacteroides_uniformis	11.1731843575
UniRef90_I3YKT5	11.0497237569
UniRef90_I3YKT5|g__Alistipes.s__Alistipes_shahii	11.0497237569
UniRef90_I9UA41	10.9890109890
UniRef90_I9UA41|g__Bacteroides.s__Bacteroides_uniformis	10.9890109890
UniRef90_I3YIW3	10.8991825613
UniRef90_I3YIW3|g__Alistipes.s__Alistipes_finegoldii	6.8753221887
UniRef90_I3YIW3|g__Alistipes.s__Alistipes_putredinis	4.0238603726
UniRef90_R6VTK0	10.5263157895
UniRef90_R6VTK0|g__Bacteroides.s__Bacteroides_caccae	7.7194929610
UniRef90_R6VTK0|g__Bacteroides.s__Bacteroides_massiliensis	2.8068228284
UniRef90_D4IJI2	10.4031209363
UniRef90_D4IJI2|g__Alistipes.s__Alistipes_shahii	10.4031209363
UniRef90_D4K1X3	10.3305785124
UniRef90_D4K1X3|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	10.3305785124
UniRef90_Q5LCF6	10.3092783505
UniRef90_Q5LCF6|g__Bacteroides.s__Bacteroides_stercoris	10.3092783505
UniRef90_A0ZXS0	10.1996294446
UniRef90_A0ZXS0|unclassified	10.1996294446
UniRef90_D4IJ28	9.8576122673
UniRef90_D4IJ28|g__Alistipes.s__Alistipes_shahii	9.8576122673
UniRef90_R7JJ58	9.8410295231
UniRef90_R7JJ58|g__Alistipes.s__Alistipes_putredinis	9.8410295231
UniRef90_R7JJ18	9.7087378641
UniRef90_R7JJ18|g__Alistipes.s__Alistipes_putredinis	9.7087378641
UniRef90_A0ZXP9	9.4898307452
UniRef90_A0ZXP9|unclassified	9.4898307452
UniRef90_R7NWJ0	9.4339622642
UniRef90_R7NWJ0|g__Bacteroides.s__Bacteroides_massiliensis	9.4339622642
UniRef90_R6KE91	9.3676814988
UniRef90_R6KE91|g__Bacteroides.s__Bacteroides_intestinalis	9.3676814988
UniRef90_R7JGB6	9.3167701863
UniRef90_R7JGB6|g__Alistipes.s__Alistipes_putredinis	9.3167701863
UniRef90_C7H4C1	9.2936802974
UniRef90_C7H4C1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	9.2936802974
UniRef90_G2SX25	9.2838196286
UniRef90_G2SX25|g__Roseburia.s__Roseburia_hominis	9.2838196286
UniRef90_A0ZXP3	9.2665030082
UniRef90_A0ZXP3|unclassified	9.2665030082
UniRef90_R5U2J5	9.2378752887
UniRef90_R5U2J5|g__Bacteroides.s__Bacteroides_caccae	9.2378752887
UniRef90_C4Z2Q8	9.0090090090
UniRef90_C4Z2Q8|g__Eubacterium.s__Eubacterium_eligens	9.0090090090
UniRef90_R7JKN6	8.8967971530
UniRef90_R7JKN6|g__Alistipes.s__Alistipes_putredinis	8.8967971530
UniRef90_R5E7M0	8.7623220153
UniRef90_R5E7M0|g__Ruminococcus.s__Ruminococcus_bromii	8.7623220153
UniRef90_D4IN26	8.6260959192
UniRef90_D4IN26|g__Alistipes.s__Alistipes_shahii	8.6260959192
UniRef90_D4WGY7	8.5679314565
UniRef90_D4WGY7|g__Bacteroides.s__Bacteroides_ovatus	8.5679314565
UniRef90_I9TTU8	8.4745762712
UniRef90_I9TTU8|g__Bacteroides.s__Bacteroides_uniformis	8.4745762712
UniRef90_E6UGY9	8.4566596195
UniRef90_E6UGY9|g__Ruminococcus.s__Ruminococcus_callidus	8.4566596195
UniRef90_E2ZJ80	8.3955223881
UniRef90_E2ZJ80|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	8.3955223881
UniRef90_B0MUF4	8.3798882682
UniRef90_B0MUF4|g__Alistipes.s__Alistipes_putredinis	8.3798882682
UniRef90_D4ILI1	8.3143902965
UniRef90_D4ILI1|g__Alistipes.s__Alistipes_shahii	8.3143902965
UniRef90_Q6EW76	8.2775219651
UniRef90_Q6EW76|unclassified	8.2775219651
UniRef90_G1ULR2	8.2417582418
UniRef90_G1ULR2|g__Bacteroides.s__Bacteroides_dorei	8.2417582418
UniRef90_B0N033	8.1240768095
UniRef90_B0N033|g__Alistipes.s__Alistipes_putredinis	8.1240768095
UniRef90_R7EC26	8.0572963295
UniRef90_R7EC26|g__Bacteroides.s__Bacteroides_uniformis	8.0572963295
UniRef90_B0MXX6	7.9051383399
UniRef90_B0MXX6|g__Alistipes.s__Alistipes_putredinis	7.9051383399
UniRef90_R7EE14	7.8492935636
UniRef90_R7EE14|g__Bacteroides.s__Bacteroides_uniformis	7.8492935636
UniRef90_S6CFT1	7.8492935636
UniRef90_S6CFT1|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	7.8492935636
UniRef90_R6GA64	7.7922077922
UniRef90_R6GA64|g__Bacteroides.s__Bacteroides_uniformis	7.7922077922
UniRef90_A6KYJ8	7.7922077922
UniRef90_A6KYJ8|g__Bacteroides.s__Bacteroides_vulgatus	7.7922077922
UniRef90_R5C2Q1	7.6923076923
UniRef90_R5C2Q1|g__Bacteroides.s__Bacteroides_uniformis	7.6923076923
UniRef90_B2UQF8	7.5642965204
UniRef90_B2UQF8|g__Akkermansia.s__Akkermansia_muciniphila	7.5642965204
UniRef90_G2T399	7.5566750630
UniRef90_G2T399|g__Blautia.s__Ruminococcus_obeum	2.5188916877
UniRef90_G2T399|g__Roseburia.s__Roseburia_hominis	2.5188916877
UniRef90_G2T399|g__Roseburia.s__Roseburia_intestinalis	2.5188916877
UniRef90_D4V6M2	7.4710143229
UniRef90_D4V6M2|g__Bacteroides.s__Bacteroides_vulgatus	7.4710143229
UniRef90_I3YKN2	7.4013157895
UniRef90_I3YKN2|g__Alistipes.s__Alistipes_finegoldii	7.4013157895
UniRef90_D4WCN5	7.3759006819
UniRef90_D4WCN5|g__Bacteroides.s__Bacteroides_caccae	5.6103468937
UniRef90_D4WCN5|g__Bacteroides.s__Bacteroides_ovatus	1.7655537882
UniRef90_I9GA88	7.2164948454
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_vulgatus	5.1546391753
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_dorei	2.0618556701
UniRef90_R7EDS2	7.1942446043
UniRef90_R7EDS2|g__Bacteroides.s__Bacteroides_uniformis	7.1942446043
UniRef90_J7SHX6	7.0583292487
UniRef90_J7SHX6|g__Streptococcus.s__Streptococcus_salivarius	7.0583292487
UniRef90_D4INA6	6.9930069930
UniRef90_D4INA6|g__Alistipes.s__Alistipes_shahii	6.9930069930
UniRef90_R7JKX6	6.9138906348
UniRef90_R7JKX6|g__Alistipes.s__Alistipes_putredinis	6.9138906348
UniRef90_A6L735	6.8886337543
UniRef90_A6L735|g__Bacteroides.s__Bacteroides_vulgatus	6.8886337543
UniRef90_R7ED67	6.8762278978
UniRef90_R7ED67|g__Bacteroides.s__Bacteroides_uniformis	6.8762278978
UniRef90_E2ZIV6	6.7669172932
UniRef90_E2ZIV6|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6.7669172932
UniRef90_J9FUZ5	6.7624683009
UniRef90_J9FUZ5|g__Bacteroides.s__Bacteroides_massiliensis	6.7624683009
UniRef90_D4K818	6.6914498141
UniRef90_D4K818|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6.6914498141
UniRef90_R6ALP3	6.6518847007
UniRef90_R6ALP3|g__Bacteroides.s__Bacteroides_uniformis	4.4345898004
UniRef90_R6ALP3|g__Bacteroides.s__Bacteroides_ovatus	2.2172949002
UniRef90_R5HXI3	6.6225165563
UniRef90_R5HXI3|g__Roseburia.s__Roseburia_hominis	6.6225165563
UniRef90_Q64SD6	6.5789473684
