# Gene Family	11507229_rna_4-RPKs
UNMAPPED	36771.0000000000
UniRef90_A4ECR2	5232.8135146972
UniRef90_A4ECR2|g__Collinsella.s__Collinsella_aerofaciens	5232.8135146972
UniRef90_A7A2I9	4783.7346061090
UniRef90_A7A2I9|g__Bifidobacterium.s__Bifidobacterium_adolescentis	4783.7346061090
UniRef90_unknown	3207.4755848900
UniRef90_unknown|g__Enterococcus.s__Enterococcus_faecalis	2527.7777777778
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	180.2325581395
UniRef90_unknown|g__Bacteroides.s__Bacteroides_ovatus	160.7139389479
UniRef90_unknown|g__Bacteroides.s__Bacteroides_caccae	134.7683719776
UniRef90_unknown|g__Bacteroides.s__Bacteroides_massiliensis	27.2579714574
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	27.0238793100
UniRef90_unknown|g__Alistipes.s__Alistipes_shahii	20.3722767704
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	18.5961152414
UniRef90_unknown|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	16.1053526456
UniRef90_unknown|g__Alistipes.s__Alistipes_finegoldii	14.0705899560
UniRef90_unknown|g__Streptococcus.s__Streptococcus_salivarius	13.5291851762
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	12.3456790123
UniRef90_unknown|g__Escherichia.s__Escherichia_coli	11.1248956295
UniRef90_unknown|g__Collinsella.s__Collinsella_aerofaciens	9.3470240240
UniRef90_unknown|g__Bacteroides.s__Bacteroides_stercoris	7.8771218081
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	5.8817079383
UniRef90_unknown|g__Alistipes.s__Alistipes_putredinis	4.5189224640
UniRef90_unknown|g__Blautia.s__Ruminococcus_obeum	3.5496957404
UniRef90_unknown|g__Dorea.s__Dorea_formicigenerans	2.8653295129
UniRef90_unknown|g__Bacteroides.s__Bacteroides_intestinalis	1.6580062775
UniRef90_unknown|g__Gordonibacter.s__Gordonibacter_pamelaeae	1.6492578340
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	1.3705111710
UniRef90_unknown|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0.9000900090
UniRef90_unknown|g__Roseburia.s__Roseburia_hominis	0.8860486247
UniRef90_unknown|g__Roseburia.s__Roseburia_intestinalis	0.8634985446
UniRef90_unknown|g__Roseburia.s__Roseburia_inulinivorans	0.7194420117
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_callidus	0.4732607667
UniRef90_unknown|g__Coprococcus.s__Coprococcus_comes	0.4093327876
UniRef90_unknown|g__Eubacterium.s__Eubacterium_eligens	0.3929273084
UniRef90_unknown|g__Eubacterium.s__Eubacterium_ramulus	0.1191043354
UniRef90_unknown|g__Eubacterium.s__Eubacterium_hallii	0.0757116899
UniRef90_A5ZYU0	1848.7459449824
UniRef90_A5ZYU0|g__Blautia.s__Ruminococcus_obeum	1848.7459449824
UniRef90_A7V2K8	1820.9331509742
UniRef90_A7V2K8|g__Bacteroides.s__Bacteroides_uniformis	1820.9331509742
UniRef90_A5ZTV8	1719.6040679710
UniRef90_A5ZTV8|g__Blautia.s__Ruminococcus_obeum	1719.6040679710
UniRef90_A4EB58	1619.7673875348
UniRef90_A4EB58|g__Collinsella.s__Collinsella_aerofaciens	1619.7673875348
UniRef90_A5KP23	898.3841811593
UniRef90_A5KP23|g__Blautia.s__Ruminococcus_torques	898.3841811593
UniRef90_A7V4G2	860.6553927487
UniRef90_A7V4G2|g__Bacteroides.s__Bacteroides_uniformis	860.6553927487
UniRef90_A5KR94	781.1450911282
UniRef90_A5KR94|g__Blautia.s__Ruminococcus_torques	781.1450911282
UniRef90_A7V4G1	764.6370249799
UniRef90_A7V4G1|g__Bacteroides.s__Bacteroides_uniformis	764.6370249799
UniRef90_A5ZQM1	483.4158761632
UniRef90_A5ZQM1|g__Blautia.s__Ruminococcus_obeum	483.4158761632
UniRef90_C5EDJ5	436.1554803682
UniRef90_C5EDJ5|g__Bifidobacterium.s__Bifidobacterium_longum	436.1554803682
UniRef90_A5ZLI2	423.4693877551
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_uniformis	352.1016866322
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_caccae	71.3677011229
UniRef90_UPI00015BEA70	402.4931656819
UniRef90_UPI00015BEA70|g__Bacteroides.s__Bacteroides_uniformis	402.4931656819
UniRef90_A5ZL08	400.0000000000
UniRef90_A5ZL08|g__Bacteroides.s__Bacteroides_caccae	400.0000000000
UniRef90_A7UXY7	352.2357441397
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_uniformis	330.6530103268
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_caccae	21.5827338129
UniRef90_B0NEX9	344.1927071698
UniRef90_B0NEX9|g__Clostridium.s__Clostridium_scindens	344.1927071698
UniRef90_A8SCU4	324.3243243243
UniRef90_A8SCU4|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	324.3243243243
UniRef90_A7LS52	295.9183673469
UniRef90_A7LS52|g__Bacteroides.s__Bacteroides_ovatus	295.9183673469
UniRef90_E2ZL93	285.7142857143
UniRef90_E2ZL93|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	285.7142857143
UniRef90_A7B6K2	283.4886058640
UniRef90_A7B6K2|g__Clostridium.s__Clostridium_scindens	157.1797585821
UniRef90_A7B6K2|g__Dorea.s__Dorea_longicatena	83.3910683746
UniRef90_A7B6K2|g__Ruminococcus.s__Ruminococcus_lactaris	42.9177789073
UniRef90_A4EB57	242.9196470926
UniRef90_A4EB57|g__Collinsella.s__Collinsella_aerofaciens	242.9196470926
UniRef90_A7V4G3	226.8041237113
UniRef90_A7V4G3|g__Bacteroides.s__Bacteroides_uniformis	226.8041237113
UniRef90_A5ZYV7	224.8599633520
UniRef90_A5ZYV7|g__Blautia.s__Ruminococcus_obeum	224.8599633520
UniRef90_R7NTX0	202.7718851386
UniRef90_R7NTX0|g__Bacteroides.s__Bacteroides_massiliensis	202.7718851386
UniRef90_A6BKY6	186.8393062684
UniRef90_A6BKY6|g__Dorea.s__Dorea_longicatena	186.8393062684
UniRef90_R7NSE3	183.6044642927
UniRef90_R7NSE3|g__Bacteroides.s__Bacteroides_massiliensis	183.6044642927
UniRef90_A5Z2Z6	181.9428109266
UniRef90_A5Z2Z6|g__Blautia.s__Ruminococcus_torques	181.9428109266
UniRef90_B3C522	180.8168423069
UniRef90_B3C522|g__Bacteroides.s__Bacteroides_intestinalis	180.8168423069
UniRef90_A7UZL1	172.3076271425
UniRef90_A7UZL1|g__Bacteroides.s__Bacteroides_uniformis	172.3076271425
UniRef90_A5ZBN1	167.9260732916
UniRef90_A5ZBN1|g__Bacteroides.s__Bacteroides_caccae	167.9260732916
UniRef90_A6BKY9	159.0091966116
UniRef90_A6BKY9|g__Dorea.s__Dorea_longicatena	159.0091966116
UniRef90_A7A6N2	152.1560784997
UniRef90_A7A6N2|g__Bifidobacterium.s__Bifidobacterium_adolescentis	152.1560784997
UniRef90_B0NWG2	150.3759398496
UniRef90_B0NWG2|g__Bacteroides.s__Bacteroides_stercoris	150.3759398496
UniRef90_A5ZYU6	145.4545454545
UniRef90_A5ZYU6|g__Blautia.s__Ruminococcus_obeum	145.4545454545
UniRef90_A5ZI73	140.8450704225
UniRef90_A5ZI73|g__Bacteroides.s__Bacteroides_caccae	140.8450704225
UniRef90_A5KR91	132.3529411765
UniRef90_A5KR91|g__Blautia.s__Ruminococcus_torques	132.3529411765
UniRef90_A5ZI62	118.3937293440
UniRef90_A5ZI62|g__Bacteroides.s__Bacteroides_caccae	118.3937293440
UniRef90_B5CLP5	113.0005432076
UniRef90_B5CLP5|g__Blautia.s__Ruminococcus_torques	61.7901938353
UniRef90_B5CLP5|g__Ruminococcus.s__Ruminococcus_lactaris	51.2103493723
UniRef90_C7H4T9	109.0909090909
UniRef90_C7H4T9|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	109.0909090909
UniRef90_I3YNF1	108.8957055215
UniRef90_I3YNF1|g__Alistipes.s__Alistipes_putredinis	105.8282208589
UniRef90_I3YNF1|g__Alistipes.s__Alistipes_shahii	3.0674846626
UniRef90_A5ZLI4	106.6488213453
UniRef90_A5ZLI4|g__Bacteroides.s__Bacteroides_caccae	106.6488213453
UniRef90_UPI0001599A3B	100.8174386921
UniRef90_UPI0001599A3B|g__Bifidobacterium.s__Bifidobacterium_adolescentis	100.8174386921
UniRef90_R6J881	98.9071038251
UniRef90_R6J881|g__Bacteroides.s__Bacteroides_ovatus	98.9071038251
UniRef90_A8S6F2	94.1129925621
UniRef90_A8S6F2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	94.1129925621
UniRef90_T5LYP9	93.9824052240
