# Gene Family	11507229_rna_3-RPKs
UNMAPPED	4645386.0000000000
UniRef90_E4W3C5	945040.5043842114
UniRef90_E4W3C5|g__Bacteroides.s__Bacteroides_fragilis	945040.5043842114
UniRef90_A7V2K8	594500.3395793859
UniRef90_A7V2K8|g__Bacteroides.s__Bacteroides_uniformis	594500.3395793859
UniRef90_A5ZNB1	372603.7296036913
UniRef90_A5ZNB1|g__Blautia.s__Ruminococcus_obeum	372603.7296036913
UniRef90_A5ZBN2	313259.2728344281
UniRef90_A5ZBN2|g__Bacteroides.s__Bacteroides_caccae	313259.2728344281
UniRef90_A7V4G2	276336.6690886662
UniRef90_A7V4G2|g__Bacteroides.s__Bacteroides_uniformis	276336.6690886662
UniRef90_unknown	220385.1586200380
UniRef90_unknown|g__Bacteroides.s__Bacteroides_fragilis	98114.1710059100
UniRef90_unknown|g__Bacteroides.s__Bacteroides_massiliensis	34026.2397093958
UniRef90_unknown|g__Bacteroides.s__Bacteroides_caccae	10057.6761710565
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	7453.0037699812
UniRef90_unknown|g__Bacteroides.s__Bacteroides_intestinalis	7168.0000751041
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	6322.5691828141
UniRef90_unknown|g__Bacteroides.s__Bacteroides_ovatus	5166.4103240292
UniRef90_unknown|g__Alistipes.s__Alistipes_finegoldii	4997.1851766928
UniRef90_unknown|g__Alistipes.s__Alistipes_putredinis	3905.8203106745
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_distasonis	3863.6685835566
UniRef90_unknown|g__Alistipes.s__Alistipes_sp_HGB5	3774.9493024489
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	3739.6845295931
UniRef90_unknown|g__Streptococcus.s__Streptococcus_salivarius	3147.8150461393
UniRef90_unknown|g__Alistipes.s__Alistipes_shahii	2921.7521200483
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	2863.5872093127
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	2021.6747992818
UniRef90_unknown|g__Eubacterium.s__Eubacterium_hallii	1661.5773886365
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_merdae	1585.8260987712
UniRef90_unknown|g__Bacteroides.s__Bacteroides_xylanisolvens	1337.1670798833
UniRef90_unknown|g__Odoribacter.s__Odoribacter_splanchnicus	1294.1122195902
UniRef90_unknown|g__Roseburia.s__Roseburia_hominis	1288.6078890371
UniRef90_unknown|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1182.2811365054
UniRef90_unknown|g__Alistipes.s__Alistipes_senegalensis	1143.0463385899
UniRef90_unknown|g__Collinsella.s__Collinsella_aerofaciens	1048.5916973347
UniRef90_unknown|g__Roseburia.s__Roseburia_inulinivorans	1047.0235987366
UniRef90_unknown|g__Blautia.s__Ruminococcus_obeum	980.8122755833
UniRef90_unknown|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	935.8808449290
UniRef90_unknown|g__Roseburia.s__Roseburia_intestinalis	763.9326936054
UniRef90_unknown|g__Alistipes.s__Alistipes_onderdonkii	721.6608067952
UniRef90_unknown|g__Bacteroides.s__Bacteroides_nordii	715.3614598147
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_bromii	683.0518641765
UniRef90_unknown|g__Dorea.s__Dorea_formicigenerans	539.6827500081
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_lactaris	384.8842313743
UniRef90_unknown|g__Coprococcus.s__Coprococcus_comes	294.3552004098
UniRef90_unknown|g__Blautia.s__Ruminococcus_torques	288.2057164540
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_callidus	255.3732851008
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	224.6075427949
UniRef90_unknown|g__Eubacterium.s__Eubacterium_siraeum	219.8907507287
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	215.9266788612
UniRef90_unknown|g__Blautia.s__Blautia_hydrogenotrophica	194.1289384306
UniRef90_unknown|g__Anaerostipes.s__Anaerostipes_hadrus	187.4338899383
UniRef90_unknown|g__Bacteroides.s__Bacteroides_stercoris	160.9866578035
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	153.6686932059
UniRef90_unknown|g__Eubacterium.s__Eubacterium_ramulus	141.1540279432
UniRef90_unknown|g__Escherichia.s__Escherichia_coli	137.8660424484
UniRef90_unknown|g__Clostridium.s__Clostridium_bolteae	123.8457158045
UniRef90_unknown|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	115.8371241562
UniRef90_unknown|g__Gordonibacter.s__Gordonibacter_pamelaeae	112.5087353353
UniRef90_unknown|g__Bilophila.s__Bilophila_wadsworthia	107.0049338070
UniRef90_unknown|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	104.0194283235
UniRef90_unknown|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	94.2131050777
UniRef90_unknown|g__Coprococcus.s__Coprococcus_sp_ART55_1	83.4519764795
UniRef90_unknown|g__Clostridium.s__Clostridium_leptum	67.8253237868
UniRef90_unknown|g__Alistipes.s__Alistipes_indistinctus	55.3294572764
UniRef90_unknown|g__Eubacterium.s__Eubacterium_eligens	32.7864080208
UniRef90_unknown|g__Bifidobacterium.s__Bifidobacterium_longum	30.5017735028
UniRef90_unknown|g__Akkermansia.s__Akkermansia_muciniphila	23.1646451978
UniRef90_unknown|g__Prevotella.s__Prevotella_copri	23.1248027394
UniRef90_unknown|g__Parasutterella.s__Parasutterella_excrementihominis	21.2804878883
UniRef90_unknown|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	19.1445245434
UniRef90_unknown|g__Erysipelotrichaceae_noname.s__Eubacterium_cylindroides	17.1171017801
UniRef90_unknown|g__Holdemania.s__Holdemania_filiformis	14.8655331801
UniRef90_unknown|g__Bifidobacterium.s__Bifidobacterium_adolescentis	7.8324296086
UniRef90_B0G8L7	150306.1622514676
UniRef90_B0G8L7|g__Dorea.s__Dorea_formicigenerans	150306.1622514676
UniRef90_E2ZL93	140213.6071494157
UniRef90_E2ZL93|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	140213.6071494157
UniRef90_A5ZLI2	97790.5190736344
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_uniformis	74697.0187474762
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_caccae	23093.5003261581
UniRef90_A7V4G1	94874.2959183868
UniRef90_A7V4G1|g__Bacteroides.s__Bacteroides_uniformis	94874.2959183868
UniRef90_R7NTX0	93712.8470282504
UniRef90_R7NTX0|g__Bacteroides.s__Bacteroides_massiliensis	93712.8470282504
UniRef90_A5KME9	93099.8043043279
UniRef90_A5KME9|g__Blautia.s__Ruminococcus_torques	93099.8043043279
UniRef90_K5ZEM5	77830.6460577612
UniRef90_K5ZEM5|g__Parabacteroides.s__Parabacteroides_distasonis	77830.6460577612
UniRef90_A5ZL08	74208.1151369019
