# Gene Family	11507229_rna_3-RPKs
UniRef90_A5ZL08|g__Bacteroides.s__Bacteroides_caccae	74208.1151369019
UniRef90_A7LS52	73513.4248602079
UniRef90_A7LS52|g__Bacteroides.s__Bacteroides_ovatus	73513.4248602079
UniRef90_A4ECR2	72009.5820969688
UniRef90_A4ECR2|g__Collinsella.s__Collinsella_aerofaciens	72009.5820969688
UniRef90_R7NSE3	70311.2776389085
UniRef90_R7NSE3|g__Bacteroides.s__Bacteroides_massiliensis	70311.2776389085
UniRef90_R6J881	65253.2040588417
UniRef90_R6J881|g__Bacteroides.s__Bacteroides_ovatus	65253.2040588417
UniRef90_E4W3C2	64215.1247409790
UniRef90_E4W3C2|g__Bacteroides.s__Bacteroides_fragilis	64215.1247409790
UniRef90_C0BF72	58251.8251121341
UniRef90_C0BF72|g__Coprococcus.s__Coprococcus_comes	58251.8251121341
UniRef90_A7V4G3	56305.1204512730
UniRef90_A7V4G3|g__Bacteroides.s__Bacteroides_uniformis	56305.1204512730
UniRef90_A5KR94	56172.2340014276
UniRef90_A5KR94|g__Blautia.s__Ruminococcus_torques	56172.2340014276
UniRef90_T5LYP9	55368.7069280097
UniRef90_T5LYP9|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	55368.7069280097
UniRef90_A5ZQM1	54920.9061183154
UniRef90_A5ZQM1|g__Blautia.s__Ruminococcus_obeum	54920.9061183154
UniRef90_A5ZI62	47687.1871032457
UniRef90_A5ZI62|g__Bacteroides.s__Bacteroides_caccae	47687.1871032457
UniRef90_C0CJS6	46413.3376754948
UniRef90_C0CJS6|g__Blautia.s__Blautia_hydrogenotrophica	46413.3376754948
UniRef90_C0BF71	45138.0588919543
UniRef90_C0BF71|g__Coprococcus.s__Coprococcus_comes	45138.0588919543
UniRef90_A5ZYU0	43514.4392031151
UniRef90_A5ZYU0|g__Blautia.s__Ruminococcus_obeum	43514.4392031151
UniRef90_D4VB58	39599.4368022541
UniRef90_D4VB58|g__Bacteroides.s__Bacteroides_vulgatus	39599.4368022541
UniRef90_R5QVP7	39296.8287515928
UniRef90_R5QVP7|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	39296.8287515928
UniRef90_A7LQH0	31280.0833313619
UniRef90_A7LQH0|g__Bacteroides.s__Bacteroides_ovatus	31280.0833313619
UniRef90_A5KP23	29244.3063543905
UniRef90_A5KP23|g__Blautia.s__Ruminococcus_torques	29244.3063543905
UniRef90_A4EB58	26296.5340965598
UniRef90_A4EB58|g__Collinsella.s__Collinsella_aerofaciens	26296.5340965598
UniRef90_A5KR91	25693.8987576528
UniRef90_A5KR91|g__Blautia.s__Ruminococcus_torques	25693.8987576528
UniRef90_I9AG86	25648.3652066752
UniRef90_I9AG86|g__Bacteroides.s__Bacteroides_xylanisolvens	25648.3652066752
UniRef90_C0FWA4	24951.5007923756
UniRef90_C0FWA4|g__Roseburia.s__Roseburia_inulinivorans	24951.5007923756
UniRef90_A5ZBN1	23432.9098193021
UniRef90_A5ZBN1|g__Bacteroides.s__Bacteroides_caccae	23432.9098193021
UniRef90_V8C8I6	23031.0891736615
UniRef90_V8C8I6|g__Ruminococcus.s__Ruminococcus_lactaris	23031.0891736615
UniRef90_A5ZI73	21609.7186265805
UniRef90_A5ZI73|g__Bacteroides.s__Bacteroides_caccae	21609.7186265805
UniRef90_D4M0K9	21000.0000000000
UniRef90_D4M0K9|g__Blautia.s__Ruminococcus_torques	21000.0000000000
UniRef90_A6BKY6	20738.4514409841
UniRef90_A6BKY6|g__Dorea.s__Dorea_longicatena	20738.4514409841
UniRef90_E4VPD7	19282.1977258958
UniRef90_E4VPD7|g__Bacteroides.s__Bacteroides_fragilis	19282.1977258958
UniRef90_A8RZB5	18420.4041209556
UniRef90_A8RZB5|g__Clostridium.s__Clostridium_bolteae	18420.4041209556
UniRef90_B0NWG2	18219.5489062522
UniRef90_B0NWG2|g__Bacteroides.s__Bacteroides_stercoris	18219.5489062522
UniRef90_I9PRB3	17896.6148771367
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_ovatus	6061.8918208856
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_xylanisolvens	5967.7185988396
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_caccae	5867.0044574116
UniRef90_A7B6K2	17831.4050490979
UniRef90_A7B6K2|g__Dorea.s__Dorea_longicatena	6583.0398832966
UniRef90_A7B6K2|g__Blautia.s__Ruminococcus_torques	5876.2892385641
UniRef90_A7B6K2|g__Ruminococcus.s__Ruminococcus_lactaris	5372.0759272372
UniRef90_A5ZUA7	17171.0039256803
UniRef90_A5ZUA7|g__Blautia.s__Ruminococcus_obeum	17171.0039256803
UniRef90_R5MBW1	16255.9584157090
UniRef90_R5MBW1|g__Bacteroides.s__Bacteroides_intestinalis	16255.9584157090
UniRef90_E1WQ82	15973.4736721984
UniRef90_E1WQ82|g__Bacteroides.s__Bacteroides_fragilis	15973.4736721984
UniRef90_A7UXY7	15779.5348615617
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_uniformis	12517.4594656773
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_caccae	3262.0753958844
UniRef90_A5ZTV8	15381.3721965922
UniRef90_A5ZTV8|g__Blautia.s__Ruminococcus_obeum	15381.3721965922
UniRef90_UPI00015BEA70	15351.2023413892
UniRef90_UPI00015BEA70|g__Bacteroides.s__Bacteroides_fragilis	7746.9081407385
UniRef90_UPI00015BEA70|g__Bacteroides.s__Bacteroides_uniformis	7604.2942006507
UniRef90_B5CPR5	15066.9872609056
UniRef90_B5CPR5|g__Ruminococcus.s__Ruminococcus_lactaris	15066.9872609056
UniRef90_B3C522	14415.1349058594
UniRef90_B3C522|g__Bacteroides.s__Bacteroides_intestinalis	14415.1349058594
UniRef90_A8S6F2	12918.6366904319
UniRef90_A8S6F2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	12918.6366904319
UniRef90_L2CS94	12798.5215983314
UniRef90_L2CS94|g__Escherichia.s__Escherichia_coli	12798.5215983314
UniRef90_A5KRH1	12510.1669402255
UniRef90_A5KRH1|g__Blautia.s__Ruminococcus_torques	12510.1669402255
UniRef90_Q64SN1	12418.4188058023
UniRef90_Q64SN1|g__Bacteroides.s__Bacteroides_fragilis	12418.4188058023
UniRef90_A5ZLI4	12145.7056658048
UniRef90_A5ZLI4|g__Bacteroides.s__Bacteroides_caccae	12145.7056658048
UniRef90_A6L8X7	11878.5119758972
UniRef90_A6L8X7|g__Parabacteroides.s__Parabacteroides_distasonis	11878.5119758972
UniRef90_U2DVB8	11849.1245345150
UniRef90_U2DVB8|g__Bacteroides.s__Bacteroides_fragilis	11849.1245345150
UniRef90_C7GIH2	11661.6419447074
UniRef90_C7GIH2|g__Roseburia.s__Roseburia_intestinalis	11661.6419447074
UniRef90_A7AJP8	11264.5912869734
UniRef90_A7AJP8|g__Parabacteroides.s__Parabacteroides_merdae	11264.5912869734
UniRef90_C3PVH8	10702.8467067240
UniRef90_C3PVH8|g__Bacteroides.s__Bacteroides_dorei	10702.8467067240
UniRef90_I9GGP8	10268.8661960477
UniRef90_I9GGP8|g__Bacteroides.s__Bacteroides_fragilis	10268.8661960477
UniRef90_A5KRH0	10120.1651847348
UniRef90_A5KRH0|g__Blautia.s__Ruminococcus_torques	10120.1651847348
UniRef90_G2T4S1	9979.5176514021
UniRef90_G2T4S1|g__Roseburia.s__Roseburia_inulinivorans	2349.4566093119
UniRef90_G2T4S1|g__Roseburia.s__Roseburia_hominis	2286.0104852560
UniRef90_G2T4S1|g__Ruminococcus.s__Ruminococcus_bromii	1799.0209788684
UniRef90_G2T4S1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1793.3005938602
UniRef90_G2T4S1|g__Roseburia.s__Roseburia_intestinalis	1751.7289841056
UniRef90_A7A2I9	9969.1743483463
UniRef90_A7A2I9|g__Bifidobacterium.s__Bifidobacterium_adolescentis	9969.1743483463
UniRef90_C7H679	9748.2112980579
UniRef90_C7H679|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	9748.2112980579
UniRef90_A8S7R2	9705.8624859809
UniRef90_A8S7R2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	9705.8624859809
UniRef90_X3F781	9673.2323351451
UniRef90_X3F781|g__Escherichia.s__Escherichia_coli	9673.2323351451
UniRef90_A5ZYV3	9119.8767797769
UniRef90_A5ZYV3|g__Blautia.s__Ruminococcus_obeum	9119.8767797769
UniRef90_A8RG66	8716.3953498509
UniRef90_A8RG66|g__Clostridium.s__Clostridium_bolteae	8716.3953498509
UniRef90_A0A023KWQ1	8612.8603656793
UniRef90_A0A023KWQ1|g__Escherichia.s__Escherichia_coli	8612.8603656793
UniRef90_B0NWG0	8309.6707130378
UniRef90_B0NWG0|g__Bacteroides.s__Bacteroides_stercoris	8309.6707130378
UniRef90_A6L8Y4	8187.1264749859
UniRef90_A6L8Y4|g__Parabacteroides.s__Parabacteroides_distasonis	8187.1264749859
UniRef90_R7FT02	7847.8770256884
UniRef90_R7FT02|g__Dorea.s__Dorea_longicatena	7847.8770256884
UniRef90_P54634	7466.7493502468
UniRef90_P54634|unclassified	7466.7493502468
UniRef90_X2PD96	7373.3571462355
UniRef90_X2PD96|g__Escherichia.s__Escherichia_coli	7373.3571462355
UniRef90_A5ZYU6	6862.8897641450
UniRef90_A5ZYU6|g__Blautia.s__Ruminococcus_obeum	6862.8897641450
UniRef90_A6BKY7	6750.4969230255
UniRef90_A6BKY7|g__Dorea.s__Dorea_longicatena	6750.4969230255
UniRef90_R7NTF5	6653.4115601912
UniRef90_R7NTF5|g__Bacteroides.s__Bacteroides_massiliensis	6653.4115601912
UniRef90_D6CX52	6544.2484869913
UniRef90_D6CX52|g__Bacteroides.s__Bacteroides_xylanisolvens	6544.2484869913
UniRef90_UPI00015E6A9A	6468.5480058063
UniRef90_UPI00015E6A9A|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6468.5480058063
UniRef90_R7EJD6	6188.4004884005
UniRef90_R7EJD6|g__Bacteroides.s__Bacteroides_uniformis	6188.4004884005
UniRef90_F7V2A7	6103.7290591498
UniRef90_F7V2A7|g__Clostridium.s__Clostridium_bolteae	6103.7290591498
UniRef90_F3QKQ8	4865.4694631651
UniRef90_F3QKQ8|g__Parasutterella.s__Parasutterella_excrementihominis	4865.4694631651
UniRef90_A8ST13	4837.7183294038
UniRef90_A8ST13|g__Blautia.s__Ruminococcus_obeum	4837.7183294038
UniRef90_D0TLK8	4784.4146034585
UniRef90_D0TLK8|g__Bacteroides.s__Bacteroides_ovatus	4784.4146034585
UniRef90_A4EB57	4656.8531255779
UniRef90_A4EB57|g__Collinsella.s__Collinsella_aerofaciens	4656.8531255779
UniRef90_UPI0001599A3B	4651.4505654726
UniRef90_UPI0001599A3B|g__Bifidobacterium.s__Bifidobacterium_adolescentis	4651.4505654726
UniRef90_B5CLP5	4647.9819673307
UniRef90_B5CLP5|g__Ruminococcus.s__Ruminococcus_lactaris	2546.1725053891
UniRef90_B5CLP5|g__Blautia.s__Ruminococcus_torques	2101.8094619416
UniRef90_A7VSA4	4606.2381667502
UniRef90_A7VSA4|g__Clostridium.s__Clostridium_leptum	4606.2381667502
UniRef90_G2T4S0	4578.6737617683
UniRef90_G2T4S0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2721.5309046255
UniRef90_G2T4S0|g__Roseburia.s__Roseburia_hominis	1857.1428571429
UniRef90_A8S6F0	4508.8744612091
UniRef90_A8S6F0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4508.8744612091
UniRef90_A6BKY9	4501.7349084227
UniRef90_A6BKY9|g__Dorea.s__Dorea_longicatena	4501.7349084227
UniRef90_A5Z2Z6	4413.6677063568
UniRef90_A5Z2Z6|g__Blautia.s__Ruminococcus_torques	4413.6677063568
UniRef90_A5ZYV7	4378.3291628559
UniRef90_A5ZYV7|g__Blautia.s__Ruminococcus_obeum	4378.3291628559
UniRef90_J7SHX6	4329.1075205396
UniRef90_J7SHX6|g__Streptococcus.s__Streptococcus_salivarius	4329.1075205396
UniRef90_M4WIM0	4234.7933233214
UniRef90_M4WIM0|unclassified	4234.7933233214
UniRef90_UPI000156186B	4126.1308543959
UniRef90_UPI000156186B|g__Clostridium.s__Clostridium_bolteae	4126.1308543959
UniRef90_F3QKR2	4028.1050705533
UniRef90_F3QKR2|g__Parasutterella.s__Parasutterella_excrementihominis	4028.1050705533
UniRef90_J7TUV6	3995.3371998057
UniRef90_J7TUV6|g__Streptococcus.s__Streptococcus_salivarius	3995.3371998057
UniRef90_C5EBV4	3875.8020528180
UniRef90_C5EBV4|g__Bifidobacterium.s__Bifidobacterium_longum	3875.8020528180
UniRef90_E4W3C3	3858.0868504959
UniRef90_E4W3C3|g__Bacteroides.s__Bacteroides_fragilis	3858.0868504959
UniRef90_A1A270	3815.1037961330
UniRef90_A1A270|g__Bifidobacterium.s__Bifidobacterium_adolescentis	3815.1037961330
UniRef90_Q8JXI4	3729.3986098407
UniRef90_Q8JXI4|unclassified	3729.3986098407
UniRef90_A6BKX8	3478.7312078948
UniRef90_A6BKX8|g__Dorea.s__Dorea_longicatena	3478.7312078948
UniRef90_R7JPD2	3461.8254694587
UniRef90_R7JPD2|g__Alistipes.s__Alistipes_putredinis	3461.8254694587
UniRef90_UPI000156FA79	3420.5411955052
UniRef90_UPI000156FA79|g__Parabacteroides.s__Parabacteroides_merdae	3420.5411955052
UniRef90_A7A2I8	3415.7889271259
UniRef90_A7A2I8|g__Bifidobacterium.s__Bifidobacterium_adolescentis	3415.7889271259
UniRef90_A5Z2Z7	3399.1155303217
UniRef90_A5Z2Z7|g__Dorea.s__Dorea_longicatena	3399.1155303217
UniRef90_A5ZYK6	3398.7144170906
UniRef90_A5ZYK6|g__Blautia.s__Ruminococcus_obeum	3398.7144170906
UniRef90_A8S539	3305.8935700720
UniRef90_A8S539|g__Clostridium.s__Clostridium_bolteae	3305.8935700720
UniRef90_UPI0001FABDB5	3264.9936064241
UniRef90_UPI0001FABDB5|g__Dorea.s__Dorea_longicatena	3264.9936064241
UniRef90_B5CMS1	3002.6756421492
UniRef90_B5CMS1|g__Ruminococcus.s__Ruminococcus_lactaris	3002.6756421492
UniRef90_A5ZQM3	2992.6187570652
UniRef90_A5ZQM3|g__Blautia.s__Ruminococcus_obeum	2992.6187570652
UniRef90_A8S9X2	2987.0200412338
UniRef90_A8S9X2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2987.0200412338
UniRef90_Q5L890	2791.2666777177
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_uniformis	769.1155442011
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_vulgatus	725.8939235637
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_massiliensis	436.2313693229
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_intestinalis	348.7778869321
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_caccae	123.4387649187
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_xylanisolvens	113.1043044510
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_thetaiotaomicron	69.0173324041
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_nordii	66.1117527508
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_dorei	50.1599952744
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_fragilis	37.9190772061
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_ovatus	35.9660533750
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_stercoris	15.5306733178
UniRef90_I9AUB9	2680.0001202714
UniRef90_I9AUB9|g__Bacteroides.s__Bacteroides_fragilis	2680.0001202714
UniRef90_A5ZYV6	2674.5861590520
UniRef90_A5ZYV6|g__Blautia.s__Ruminococcus_obeum	2674.5861590520
UniRef90_F3QKQ6	2665.8330679947
UniRef90_F3QKQ6|g__Parasutterella.s__Parasutterella_excrementihominis	2665.8330679947
UniRef90_R7CCR9	2597.8410930510
UniRef90_R7CCR9|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	2597.8410930510
UniRef90_A7V1J9	2578.9473684211
UniRef90_A7V1J9|g__Bacteroides.s__Bacteroides_uniformis	2578.9473684211
UniRef90_Q6EW76	2490.7979157150
UniRef90_Q6EW76|unclassified	2490.7979157150
UniRef90_A7AAS6	2471.2666722211
UniRef90_A7AAS6|g__Parabacteroides.s__Parabacteroides_merdae	2471.2666722211
UniRef90_R7EJI4	2439.0432886086
UniRef90_R7EJI4|g__Bacteroides.s__Bacteroides_uniformis	2439.0432886086
UniRef90_R5UAF4	2418.6171012092
UniRef90_R5UAF4|g__Bacteroides.s__Bacteroides_caccae	2418.6171012092
UniRef90_E5VL83	2274.5874475995
UniRef90_E5VL83|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	2274.5874475995
UniRef90_I9IMC6	2195.7358656616
UniRef90_I9IMC6|g__Bacteroides.s__Bacteroides_uniformis	2195.7358656616
UniRef90_A5KR92	2194.1651382220
UniRef90_A5KR92|g__Blautia.s__Ruminococcus_torques	2194.1651382220
UniRef90_A7AJP9	2091.3932273722
UniRef90_A7AJP9|g__Parabacteroides.s__Parabacteroides_merdae	2091.3932273722
UniRef90_A6LBA7	2071.4710126475
UniRef90_A6LBA7|g__Parabacteroides.s__Parabacteroides_distasonis	2071.4710126475
UniRef90_R6X2N4	2057.7930112657
UniRef90_R6X2N4|g__Parabacteroides.s__Parabacteroides_distasonis	1799.8130225770
UniRef90_R6X2N4|g__Parabacteroides.s__Parabacteroides_merdae	257.9799886887
UniRef90_A6KZ78	2053.5879284469
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_vulgatus	510.9528512913
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_intestinalis	448.4359884732
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_uniformis	339.4757803316
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_caccae	211.8117477073
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_dorei	161.0302852658
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_xylanisolvens	131.8193131863
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_thetaiotaomicron	107.6357267686
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_ovatus	94.0123640421
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_nordii	34.8899444936
UniRef90_A6KZ78|g__Bacteroides.s__Bacteroides_stercoris	13.5239268870
UniRef90_R6WTS2	2007.9666491769
UniRef90_R6WTS2|g__Parabacteroides.s__Parabacteroides_merdae	2007.9666491769
UniRef90_A5KRL0	1925.8040609197
UniRef90_A5KRL0|g__Blautia.s__Ruminococcus_torques	1925.8040609197
UniRef90_Q8JKD4	1924.4420458520
UniRef90_Q8JKD4|unclassified	1924.4420458520
UniRef90_A6LIG3	1907.7703308896
UniRef90_A6LIG3|g__Parabacteroides.s__Parabacteroides_distasonis	1907.7703308896
UniRef90_I3YLE2	1903.7787679723
UniRef90_I3YLE2|g__Alistipes.s__Alistipes_sp_HGB5	1114.9194666692
UniRef90_I3YLE2|g__Alistipes.s__Alistipes_finegoldii	788.8593013031
UniRef90_R7EI53	1886.9832948386
UniRef90_R7EI53|g__Bacteroides.s__Bacteroides_uniformis	1461.3465450478
UniRef90_R7EI53|g__Bacteroides.s__Bacteroides_thetaiotaomicron	425.6367497908
UniRef90_F3QKR1	1845.5882352941
UniRef90_F3QKR1|g__Parasutterella.s__Parasutterella_excrementihominis	1845.5882352941
UniRef90_I3YQ94	1825.9429153925
UniRef90_I3YQ94|g__Alistipes.s__Alistipes_sp_HGB5	990.9106354060
UniRef90_I3YQ94|g__Alistipes.s__Alistipes_finegoldii	835.0322799864
UniRef90_D6D413	1814.7240103205
UniRef90_D6D413|g__Bacteroides.s__Bacteroides_xylanisolvens	1814.7240103205
UniRef90_A6LIG2	1804.8089221946
UniRef90_A6LIG2|g__Parabacteroides.s__Parabacteroides_distasonis	1804.8089221946
UniRef90_UPI0001A5D116	1802.1106982121
UniRef90_UPI0001A5D116|g__Bifidobacterium.s__Bifidobacterium_longum	1802.1106982121
UniRef90_A6L064	1799.2357695891
UniRef90_A6L064|g__Bacteroides.s__Bacteroides_vulgatus	939.8289662871
UniRef90_A6L064|g__Bacteroides.s__Bacteroides_dorei	534.2155588879
UniRef90_A6L064|g__Bacteroides.s__Bacteroides_massiliensis	325.1912444141
UniRef90_A7A2I7	1798.2424956722
UniRef90_A7A2I7|g__Bifidobacterium.s__Bifidobacterium_adolescentis	1798.2424956722
UniRef90_UPI0001532979	1796.3815423505
