#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	54.57673
k__Bacteria|p__Bacteroidetes	40.06562
k__Bacteria|p__Actinobacteria	4.45892
k__Bacteria|p__Proteobacteria	0.63844
k__Bacteria|p__Verrucomicrobia	0.19038
k__Bacteria|p__Deinococcus_Thermus	0.04788
k__Bacteria|p__Acidobacteria	0.02202
k__Bacteria|p__Firmicutes|c__Clostridia	54.40893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	40.06562
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.45892
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.51583
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.19038
k__Bacteria|p__Firmicutes|c__Negativicutes	0.14377
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.12261
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.04788
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.02202
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02179
k__Bacteria|p__Firmicutes|c__Bacilli	0.00224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	54.40893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	40.06562
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.60962
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.79281
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.51583
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.19038
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.14377
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.12261
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0565
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.04788
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.02202
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02179
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00224
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	24.5724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	23.10873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	17.75194
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	13.04191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	12.80353
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	2.60962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.9867
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.79281
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.65195
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.46461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.24357
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.21393
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.19038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.12261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.07406
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.07389
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.06988
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.05712
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.0565
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.04788
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.02202
