# Gene Family	11507229_rna_2-RPKs
UniRef90_unknown|g__Bifidobacterium.s__Bifidobacterium_longum	2.9002801496
UniRef90_A5ZQM1	61316.7583419780
UniRef90_A5ZQM1|g__Blautia.s__Ruminococcus_obeum	61316.7583419780
UniRef90_A4ECR2	59473.0300649357
UniRef90_A4ECR2|g__Collinsella.s__Collinsella_aerofaciens	59473.0300649357
UniRef90_A7AJP8	59337.3733767070
UniRef90_A7AJP8|g__Parabacteroides.s__Parabacteroides_merdae	59337.3733767070
UniRef90_K5ZEM5	55866.7300506792
UniRef90_K5ZEM5|g__Parabacteroides.s__Parabacteroides_distasonis	55866.7300506792
UniRef90_A5ZI62	55716.7407860010
UniRef90_A5ZI62|g__Bacteroides.s__Bacteroides_caccae	55716.7407860010
UniRef90_R7NSE3	55536.3301627653
UniRef90_R7NSE3|g__Bacteroides.s__Bacteroides_massiliensis	55536.3301627653
UniRef90_A7B5W7	49915.2394923832
UniRef90_A7B5W7|g__Blautia.s__Ruminococcus_gnavus	49915.2394923832
UniRef90_A5ZBN2	49287.4139802590
UniRef90_A5ZBN2|g__Bacteroides.s__Bacteroides_caccae	49287.4139802590
UniRef90_A7LS52	44600.9347067855
UniRef90_A7LS52|g__Bacteroides.s__Bacteroides_ovatus	44600.9347067855
UniRef90_T5LYP9	38234.9285409187
UniRef90_T5LYP9|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	38234.9285409187
UniRef90_A4EB58	36456.2846751905
UniRef90_A4EB58|g__Collinsella.s__Collinsella_aerofaciens	36456.2846751905
UniRef90_A6BKY6	35012.4252686288
UniRef90_A6BKY6|g__Dorea.s__Dorea_longicatena	35012.4252686288
UniRef90_C7H679	27275.8592031722
UniRef90_C7H679|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	27275.8592031722
UniRef90_E2ZL93	26020.3502751992
UniRef90_E2ZL93|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	26020.3502751992
UniRef90_A5KP23	24735.3938715212
UniRef90_A5KP23|g__Blautia.s__Ruminococcus_torques	24735.3938715212
UniRef90_A5ZI73	24553.3116291099
UniRef90_A5ZI73|g__Bacteroides.s__Bacteroides_caccae	24553.3116291099
UniRef90_A7UXY7	24289.1626296091
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_uniformis	18862.7059406987
UniRef90_A7UXY7|g__Bacteroides.s__Bacteroides_caccae	5426.4566889103
UniRef90_A5ZLI4	20896.6529457274
UniRef90_A5ZLI4|g__Bacteroides.s__Bacteroides_caccae	20896.6529457274
UniRef90_A5ZBN1	19679.2018662794
