{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 193952
	0	0.0
d1,d3,d4,r1	328	0.0016911400759
d2,d4,r2,r3	2	1.03118297311e-05
d3,r3	76	0.000391849529781
d3,d4,r1,r3	29	0.0001495215311
d2,d3,d4,r1,r2	57	0.000293887147335
d2,d3,d4,r1,r3	31	0.000159833360832
d3,d4,r3,r4	4	2.06236594621e-05
d2,d3,d4,r1,r4	1	5.15591486553e-06
d2,r2,r3	8	4.12473189243e-05
d1,d3,d4,r1,r3,r4	1	5.15591486553e-06
d2,r2	61	0.000314510806798
d1,d2,r1,r3	11	5.67150635209e-05
d1,d2,r1,r2	55	0.000283575317604
d1,d2,d4,r2,r3	1	5.15591486553e-06
d1,d2,r1,r4	1	5.15591486553e-06
d1,d3,d4,r3,r4	1	5.15591486553e-06
d2,d3,r3,r4	2	1.03118297311e-05
d1,d3,r3	7	3.60914040587e-05
d1,d4,r1	183	0.000943532420393
d1,d2,r1,r2,r3	12	6.18709783864e-05
d2,d3,d4,r3,r4	1	5.15591486553e-06
d1,d4,r1,r2	34	0.000175301105428
d1,d3,d4,r3	11	5.67150635209e-05
d1,d3,r1,r2,r3	6	3.09354891932e-05
d3,d4,r1,r4	1	5.15591486553e-06
d1,d2,d4,r1,r2,r3,r4	8	4.12473189243e-05
d2,d4,r1,r2	23	0.000118586041907
d1,r1,r2	53	0.000273263487873
d1,r1,r3	18	9.28064675796e-05
d2,r2,r4	1	5.15591486553e-06
d1,d2,r2	23	0.000118586041907
no_correspondence	183319	0.945177157235
d2,d3,r1,r2,r3	7	3.60914040587e-05
d2,d3,r1,r2,r4	1	5.15591486553e-06
d1,d3,r2,r3	1	5.15591486553e-06
d2,d3,r3	10	5.15591486553e-05
d2,d3,r2	22	0.000113430127042
d1,d2,d3,d4,r4	2	1.03118297311e-05
d4,r4	7	3.60914040587e-05
d1,d2,d3,d4,r1	3626	0.0186953473024
d1,d2,d3,d4,r2	200	0.00103118297311
d1,d2,d3,d4,r3	315	0.00162411318264
d3,d4,r4	2	1.03118297311e-05
d3,d4,r3	49	0.000252639828411
d1,d2,d3,d4,r3,r4	1	5.15591486553e-06
d1,d2,r1	204	0.00105180663257
d1,d3,d4,r1,r2,r3	42	0.000216548424352
d2,d3,r2,r3	3	1.54677445966e-05
d3,d4,r1,r2,r3,r4	4	2.06236594621e-05
d3,r3,r4	2	1.03118297311e-05
d1,d2,d3,d4,r1,r3,r4	12	6.18709783864e-05
d1,d2,d3,r1,r3	10	5.15591486553e-05
d1,d2,d3,r1,r2	48	0.000247483913546
d3,r1,r2,r3	14	7.21828081175e-05
d1,r1,r2,r3	16	8.24946378485e-05
d3,d4,r1,r2,r3	15	7.7338722983e-05
d2,d3,d4,r2,r3	6	3.09354891932e-05
d1,d2,d3,r3	6	3.09354891932e-05
d2,r1,r2	35	0.000180457020294
d1,d3,d4,r2,r4	1	5.15591486553e-06
d2,d3,d4,r2	56	0.00028873123247
d2,d3,d4,r3	33	0.000170145190563
d2,d3,d4,r4	2	1.03118297311e-05
d1,d3,d4,r2,r3	1	5.15591486553e-06
d1,d3,d4,r2,r3,r4	1	5.15591486553e-06
d4,r3,r4	22	0.000113430127042
d1,d2,r1,r2,r3,r4	5	2.57795743277e-05
d2,r1,r2,r3	23	0.000118586041907
d1,d4,r1,r2,r3,r4	4	2.06236594621e-05
d1,d4,r1,r3,r4	1	5.15591486553e-06
d2,d3,r1,r2,r3,r4	1	5.15591486553e-06
d1,d2,d3,d4,r1,r4	1	5.15591486553e-06
d1,d2,d3,d4,r1,r2	1288	0.00664081834681
d1,d2,d3,d4,r1,r3	414	0.00213454875433
d3,r1,r3	10	5.15591486553e-05
d1,d3,r1,r2	12	6.18709783864e-05
d1,d3,r1,r3	2	1.03118297311e-05
d1,d3,r1,r4	1	5.15591486553e-06
d2,d3,d4,r1,r2,r3,r4	3	1.54677445966e-05
d2,r1,r2,r3,r4	2	1.03118297311e-05
d1,r1	491	0.00253155419898
d2,d4,r1,r2,r4	1	5.15591486553e-06
d2,d4,r2	13	6.70268932519e-05
d2,d4,r1,r2,r3	17	8.76505527141e-05
d2,d3,d4,r1,r2,r3	44	0.000226860254083
d2,d3,d4,r1,r2,r4	2	1.03118297311e-05
d1,r1,r2,r3,r4	6	3.09354891932e-05
d4,r1,r3,r4	1	5.15591486553e-06
d1,d3,r3,r4	1	5.15591486553e-06
d2,d3,r1,r3	6	3.09354891932e-05
d2,d3,r1,r2	15	7.7338722983e-05
d4,r2,r3,r4	1	5.15591486553e-06
d1,d3,r1	70	0.000360914040587
d1,d2,d4,r1,r3,r4	3	1.54677445966e-05
