{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 217451
	0	0.0
d2,d4,r3,r4	1	4.59873718677e-06
d2,d3,d4,r3,r4	1	4.59873718677e-06
d2,d4,r2,r4	19	8.73760065486e-05
d2,d4,r2,r3	2	9.19747437354e-06
d3,r3	77	0.000354102763381
d3,d4,r1,r3	2	9.19747437354e-06
d2,d3,d4,r1,r2	51	0.000234535596525
d2,d3,d4,r1,r3	2	9.19747437354e-06
d3,d4,r3,r4	5	2.29936859338e-05
d2,d3,d4,r1,r4	2	9.19747437354e-06
d2,r2,r3	2	9.19747437354e-06
d1,d3,d4,r1,r3,r4	1	4.59873718677e-06
d2,r1,r2	35	0.000160955801537
d1,d2,r1,r2	9	4.13886346809e-05
d1,d2,d4,r2,r3	2	9.19747437354e-06
d1,d3,d4,r3,r4	2	9.19747437354e-06
d1,d2,d4,r3,r4	2	9.19747437354e-06
d1,d2,r1,r2,r4	5	2.29936859338e-05
d1,d4,r4	5	2.29936859338e-05
d1,d3,r3	9	4.13886346809e-05
d1,d4,r2,r4	2	9.19747437354e-06
d1,d3,r1	6	2.75924231206e-05
d1,d3,d4,r1	9	4.13886346809e-05
d1,d4,r1,r2	1	4.59873718677e-06
d1,d3,d4,r3	27	0.000124165904043
d1,d3,d4,r4	4	1.83949487471e-05
d1,d4,r1,r4	1	4.59873718677e-06
d1,d3,r1,r2,r4	1	4.59873718677e-06
d2,d4,r1,r2	14	6.43823206148e-05
d1,r1,r2	9	4.13886346809e-05
d1,d3,r1,r3	1	4.59873718677e-06
d1,r1,r4	1	4.59873718677e-06
d1,d2,d4,r1,r2,r4	7	3.21911603074e-05
d2,r2,r4	23	0.000105770955296
d1,d2,r2	74	0.000340306551821
d1,d2,r2,r3,r4	1	4.59873718677e-06
no_correspondence	210819	0.969501174977
d4,r1,r4	4	1.83949487471e-05
d2,d3,r1,r2,r4	5	2.29936859338e-05
d1,d3,r2,r3	1	4.59873718677e-06
d2,d3,r3	22	0.000101172218109
d2,d3,r2	52	0.000239134333712
d1,d2,d3,d4,r4	44	0.000202344436218
d4,r4	252	0.00115888177107
d1,d2,d3,d4,r1	138	0.000634625731774
d1,d2,d3,d4,r2	1466	0.0067417487158
d1,d2,d3,d4,r3	699	0.00321451729355
d3,d4,r4	69	0.000317312865887
d3,d4,r3	84	0.000386293923689
d1,d2,d3,d4,r3,r4	42	0.000193146961844
d3,d4,r1,r4	2	9.19747437354e-06
d1,d2,r1	9	4.13886346809e-05
d1,d3,d4,r1,r2,r3	1	4.59873718677e-06
d1,d3,d4,r1,r2,r4	5	2.29936859338e-05
d2,d3,r2,r4	2	9.19747437354e-06
d2,d3,r2,r3	4	1.83949487471e-05
d3,d4,r1,r2,r3,r4	3	1.37962115603e-05
d3,r3,r4	7	3.21911603074e-05
d1,d2,d4,r1,r3	2	9.19747437354e-06
d1,d2,d3,d4,r1,r3,r4	7	3.21911603074e-05
d1,d2,d3,r1,r2	6	2.75924231206e-05
d3,r1,r2,r3	3	1.37962115603e-05
d3,d4,r1,r2,r3	2	9.19747437354e-06
d3,d4,r1,r2,r4	48	0.000220739384965
d1,r1,r2,r4	2	9.19747437354e-06
d2,d3,d4,r2,r3	12	5.51848462412e-05
d1,d2,d3,r3	4	1.83949487471e-05
d2,d3,d4,r2,r4	23	0.000105770955296
d1,d3,d4,r2,r4	3	1.37962115603e-05
d2,d3,d4,r2	282	0.00129684388667
d2,d3,d4,r3	80	0.000367898974941
d2,d3,d4,r4	16	7.35797949883e-05
d1,d3,d4,r2,r3	5	2.29936859338e-05
d4,r3,r4	20	9.19747437354e-05
d1,d2,r1,r2,r3,r4	1	4.59873718677e-06
d4,r1,r2,r4	58	0.000266726756833
d2,r1,r2,r3	3	1.37962115603e-05
d2,r1,r2,r4	18	8.27772693618e-05
d1,d3,d4,r1,r4	2	9.19747437354e-06
d1,d2,d4,r2,r4	2	9.19747437354e-06
d2,r2	462	0.00212461658029
d1,d2,d3,d4,r1,r4	9	4.13886346809e-05
d1,d2,d3,d4,r1,r2	410	0.00188548224658
d1,d2,d3,d4,r1,r3	50	0.000229936859338
d1,d2,d3,d4,r2,r4	110	0.000505861090545
d1,d3,r1,r4	1	4.59873718677e-06
d2,d3,d4,r1,r2,r3,r4	3	1.37962115603e-05
d3,d4,r1,r3,r4	1	4.59873718677e-06
d1,d4,r1,r3	1	4.59873718677e-06
d1,r1	15	6.89810578015e-05
d2,d4,r1,r2,r4	9	4.13886346809e-05
d2,d4,r2	124	0.000570243411159
d2,d4,r4	12	5.51848462412e-05
d2,d4,r1,r2,r3	2	9.19747437354e-06
d2,d3,d4,r1,r2,r3	13	5.9783583428e-05
d2,d3,d4,r1,r2,r4	24	0.000110369692482
d3,r1,r3	1	4.59873718677e-06
d4,r2,r4	214	0.000984129757968
d4,r1,r3,r4	1	4.59873718677e-06
d1,d4,r1	4	1.83949487471e-05
d2,d3,r1,r2	8	3.67898974941e-05
d1,d2,d3,r1,r2,r4	3	1.37962115603e-05
d4,r2,r3,r4	1	4.59873718677e-06
d1,d2,d3,r2,r3	4	1.83949487471e-05
d1,d2,d3,r2,r4	1	4.59873718677e-06
d3,d4,r2,r3	8	3.67898974941e-05
d3,d4,r2,r4	105	0.000482867404611
d1,d4,r3,r4	1	4.59873718677e-06
d3,r2,r3	4	1.83949487471e-05
d1,d2,d4,r1,r2,r3	2	9.19747437354e-06
