{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 221120
	0	0.0
d2,d4,r3,r4	3	1.35672937771e-05
d2,d3,d4,r2,r3,r4	1	4.52243125904e-06
d1,d3,d4,r1	2	9.04486251809e-06
d2,d4,r2,r3	1	4.52243125904e-06
d3,r3	682	0.00308429811867
d3,d4,r1,r3	6	2.71345875543e-05
d2,d4,r2,r3,r4	1	4.52243125904e-06
d3,d4,r3,r4	33	0.000149240231548
d2,d3,d4,r1,r4	2	9.04486251809e-06
d2,r2,r3	1	4.52243125904e-06
d2,d3,r1,r3,r4	3	1.35672937771e-05
d1,d2,r1,r3	27	0.000122105643994
d1,d2,d3,r3,r4	14	6.33140376266e-05
d1,d2,d4,r2,r3	6	2.71345875543e-05
d1,d2,r1,r4	2	9.04486251809e-06
d1,d3,d4,r3,r4	29	0.000131150506512
d2,d3,r3,r4	8	3.61794500724e-05
d1,d4,r4	4	1.80897250362e-05
d1,d3,r3	192	0.000868306801737
d1,d3,r3,r4	3	1.35672937771e-05
d1,d2,r1,r2,r3	1	4.52243125904e-06
d2,d3,d4,r3,r4	42	0.00018994211288
d1,d3,d4,r3	443	0.00200343704776
d1,d3,d4,r4	1	4.52243125904e-06
d1,d3,r1,r2,r3	1	4.52243125904e-06
d1,d2,d4,r1,r2,r3,r4	1	4.52243125904e-06
d1,r1,r3	19	8.59261939219e-05
d1,r1,r4	1	4.52243125904e-06
d2,d3,d4,r1,r3	9	4.07018813314e-05
d2,d3,r1,r2,r3	1	4.52243125904e-06
d1,d3,r2,r3	1	4.52243125904e-06
d2,d3,r3	458	0.00207127351664
d2,d3,r2	1	4.52243125904e-06
d1,d2,d3,d4,r4	24	0.000108538350217
d4,r4	50	0.000226121562952
d1,d2,d3,d4,r1	84	0.00037988422576
d1,d2,d3,d4,r2	31	0.00014019536903
d1,d2,d3,d4,r3	8079	0.0365367221418
d3,d4,r4	18	8.14037626628e-05
d3,d4,r3	632	0.00285817655572
d1,d2,d3,d4,r3,r4	339	0.00153310419682
d1,d2,d4,r1,r3,r4	4	1.80897250362e-05
d2,d3,d4,r1,r3,r4	4	1.80897250362e-05
d1,d2,r1	16	7.23589001447e-05
d1,d2,r2	6	2.71345875543e-05
d3,r3,r4	15	6.78364688857e-05
d1,d2,d3,d4,r2,r3,r4	3	1.35672937771e-05
d1,d3,d4,r1,r3,r4	2	9.04486251809e-06
d1,d2,d3,d4,r1,r3,r4	303	0.00137029667149
d1,d2,d3,r1,r4	1	4.52243125904e-06
d1,d2,r1,r3,r4	6	2.71345875543e-05
d1,d2,d3,r1,r3	36	0.000162807525326
d1,d3,r1,r2,r3,r4	1	4.52243125904e-06
d1,r1,r2,r3	1	4.52243125904e-06
d3,d4,r1,r2,r4	1	4.52243125904e-06
d2,d3,d4,r2,r3	2	9.04486251809e-06
d1,d2,d3,r3	601	0.00271798118669
d2,r2	8	3.61794500724e-05
d2,d3,d4,r2	2	9.04486251809e-06
d2,d3,d4,r3	560	0.00253256150507
d2,d3,d4,r4	3	1.35672937771e-05
d1,d3,d4,r2,r3	2	9.04486251809e-06
d4,r3,r4	13	5.87916063676e-05
d4,r1,r2,r4	1	4.52243125904e-06
d2,r1,r2,r3	2	9.04486251809e-06
d2,d3,r1,r2,r3,r4	2	9.04486251809e-06
d1,d2,r2,r3	4	1.80897250362e-05
d1,d2,d3,d4,r1,r4	3	1.35672937771e-05
d1,d2,d3,d4,r1,r2	2	9.04486251809e-06
d1,d2,d3,d4,r1,r3	469	0.00212102026049
d1,d2,d3,d4,r2,r4	1	4.52243125904e-06
d1,d3,r1,r3	5	2.26121562952e-05
d1,d3,r1,r4	1	4.52243125904e-06
no_correspondence	207547	0.938617040521
d3,d4,r1,r3,r4	3	1.35672937771e-05
d1,d4,r1,r3	3	1.35672937771e-05
d1,r1,r3,r4	5	2.26121562952e-05
d1,r1	19	8.59261939219e-05
d2,d4,r4	1	4.52243125904e-06
d2,d3,d4,r1,r2,r3	1	4.52243125904e-06
d1,d2,d3,r1,r3,r4	8	3.61794500724e-05
d3,r1,r3	5	2.26121562952e-05
d4,r1,r3,r4	4	1.80897250362e-05
d1,d4,r1	1	4.52243125904e-06
d2,d3,r1,r3	6	2.71345875543e-05
d1,d3,r1	3	1.35672937771e-05
d2,d4,r1,r3,r4	1	4.52243125904e-06
d1,d2,d3,r1,r2,r3	1	4.52243125904e-06
d1,d2,d3,r1,r2,r3,r4	2	9.04486251809e-06
d1,d2,d3,r2,r3	5	2.26121562952e-05
d1,d2,d4,r3,r4	8	3.61794500724e-05
d1,d3,r1,r3,r4	1	4.52243125904e-06
d3,d4,r2,r3	2	9.04486251809e-06
d1,d4,r3,r4	1	4.52243125904e-06
d3,r2,r3	2	9.04486251809e-06
d1,d2,d4,r1,r2,r3	1	4.52243125904e-06
d1,d2,d4,r1,r3	17	7.68813314038e-05
d1,d2,d4,r4	1	4.52243125904e-06
d4,r1,r4	5	2.26121562952e-05
d1,d2,d3,r1	11	4.97467438495e-05
d1,d2,d4,r1	6	2.71345875543e-05
d1,d2,d4,r2	10	4.52243125904e-05
d1,d2,d3,r2	7	3.16570188133e-05
d1,d3,d4,r1,r3	4	1.80897250362e-05
d1,d4,r1,r3,r4	4	1.80897250362e-05
d1,d2,d3,d4,r2,r3	42	0.00018994211288
d1,d2,d3,d4,r1,r2,r3,r4	22	9.9493487699e-05
d3,d4,r2,r3,r4	1	4.52243125904e-06
d1,d2,d3,d4,r1,r2,r4	1	4.52243125904e-06
d3,r1,r3,r4	3	1.35672937771e-05
d1,d2,d3,d4,r1,r2,r3	20	9.04486251809e-05
