{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 219477
	0	0.0
d3,d4,r1,r4	20	9.11257216018e-05
d3,r3	3	1.36688582403e-05
d2,r2,r4	4	1.82251443204e-05
d2,d3,d4,r1,r4	6	2.73377164805e-05
d2,r2,r3	2	9.11257216018e-06
d1,d3,d4,r1,r3,r4	4	1.82251443204e-05
d2,r1,r2	1	4.55628608009e-06
d1,d2,d4,r2,r4	2	9.11257216018e-06
d1,d2,r1,r4	41	0.000186807729284
d1,d2,r1,r2,r4	2	9.11257216018e-06
d1,d4,r4	361	0.00164481927491
d1,d3,r3	2	9.11257216018e-06
d1,d3,r3,r4	3	1.36688582403e-05
d1,d3,r1	111	0.00050574775489
d1,d3,d4,r1	24	0.000109350865922
d1,d4,r1,r2	1	4.55628608009e-06
d1,d3,d4,r4	446	0.00203210359172
d1,d4,r1,r4	17	7.74568633615e-05
d1,d3,r1,r2,r4	9	4.10065747208e-05
d2,d4,r1,r4	14	6.37880051213e-05
d1,d2,d4,r1,r2,r3,r4	1	4.55628608009e-06
d1,r1,r2	1	4.55628608009e-06
d1,r1,r4	213	0.000970488935059
d1,d2,r2	1	4.55628608009e-06
d1,d2,d3,r1,r3,r4	25	0.000113907152002
d4,r1,r4	39	0.000177695157124
d2,d3,r1,r2,r4	2	9.11257216018e-06
d1,d2,d3,d4,r4	3781	0.0172273176688
d4,r4	952	0.00433758434825
d1,d2,d3,d4,r1	116	0.00052852918529
d1,d2,d3,d4,r2	2	9.11257216018e-06
d3,d4,r4	274	0.00124842238594
d3,d4,r3	1	4.55628608009e-06
d2,d3,d4,r1,r3,r4	1	4.55628608009e-06
d1,d2,r1	30	0.000136688582403
d1,d3,r2,r3,r4	1	4.55628608009e-06
d1,d3,d4,r1,r2,r4	3	1.36688582403e-05
d3,d4,r1,r2,r3,r4	1	4.55628608009e-06
d2,d3,r2,r4	2	9.11257216018e-06
d3,r3,r4	3	1.36688582403e-05
d1,d2,r1,r3,r4	1	4.55628608009e-06
d2,d3,r1,r3,r4	1	4.55628608009e-06
d1,d2,d3,d4,r1,r3,r4	20	9.11257216018e-05
d1,d2,d3,r1,r4	361	0.00164481927491
d1,d3,r1,r2,r3,r4	23	0.000104794579842
d1,r1,r2,r3	1	4.55628608009e-06
d3,d4,r1,r2,r4	1	4.55628608009e-06
d1,r1,r2,r4	4	1.82251443204e-05
d2,d3,d4,r2,r4	1	4.55628608009e-06
d1,d3,d4,r2,r4	3	1.36688582403e-05
d2,d3,d4,r4	181	0.000824687780496
d4,r3,r4	2	9.11257216018e-06
d1,d2,r1,r2,r3,r4	1	4.55628608009e-06
d4,r1,r2,r4	3	1.36688582403e-05
d2,r1,r2,r3	1	4.55628608009e-06
d2,r1,r2,r4	5	2.27814304005e-05
d1,d4,r1,r2,r3,r4	2	9.11257216018e-06
d1,d4,r1,r3,r4	1	4.55628608009e-06
d1,d2,d3,r3,r4	1	4.55628608009e-06
d2,d3,r1,r2,r3,r4	2	9.11257216018e-06
d2,r2	2	9.11257216018e-06
d1,d2,d3,d4,r1,r4	499	0.00227358675397
d1,d3,d4,r1,r2,r3,r4	8	3.64502886407e-05
d1,d2,d3,d4,r2,r4	33	0.000150357440643
d3,r1,r3	1	4.55628608009e-06
d1,d3,r1,r3	3	1.36688582403e-05
d1,d3,r1,r4	494	0.00225080532356
no_correspondence	210016	0.956892977396
d2,r1,r2,r3,r4	1	4.55628608009e-06
d1,r1,r3,r4	22	0.000100238293762
d1,r1	213	0.000970488935059
d2,d4,r2	4	1.82251443204e-05
d2,d4,r4	348	0.00158558755587
d1,d2,d3,r2,r3,r4	1	4.55628608009e-06
d2,d3,d4,r1,r2,r4	1	4.55628608009e-06
d1,r1,r2,r3,r4	2	9.11257216018e-06
d4,r2,r4	2	9.11257216018e-06
d4,r1,r3,r4	2	9.11257216018e-06
d1,d4,r1	11	5.0119146881e-05
d1,d2,d3,r1,r2,r4	12	5.46754329611e-05
d4,r2,r3,r4	1	4.55628608009e-06
d2,d4,r1,r3,r4	1	4.55628608009e-06
d1,d2,d3,r1,r2,r3	1	4.55628608009e-06
d1,d2,d3,r1,r2,r3,r4	18	8.20131494416e-05
d1,d2,d3,r2,r4	10	4.55628608009e-05
d4,r1,r2,r3,r4	1	4.55628608009e-06
d1,d3,r1,r3,r4	51	0.000232370590085
d3,d4,r2,r4	1	4.55628608009e-06
d1,d4,r3,r4	1	4.55628608009e-06
d1,d2,d4,r1,r2,r3	1	4.55628608009e-06
d1,d2,d4,r1,r4	21	9.56820076819e-05
d1,d2,d4,r4	251	0.0011436278061
d1,d2,d3,r1	74	0.000337165169927
d1,d2,d4,r1	11	5.0119146881e-05
d1,d2,d4,r2	1	4.55628608009e-06
d1,d3,d4,r1,r4	105	0.000478410038409
d1,d2,d3,d4,r2,r3	1	4.55628608009e-06
d3,r1,r2,r3,r4	4	1.82251443204e-05
d1,d2,d3,d4,r1,r2,r3,r4	21	9.56820076819e-05
d2,d4,r1,r2,r3,r4	1	4.55628608009e-06
d1,d2,d3,d4,r1,r2,r4	69	0.000314383739526
d3,r1,r3,r4	18	8.20131494416e-05
d3,r2,r3	2	9.11257216018e-06
