{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 193994
	0	0.0
d2,d3,d4,r2,r3,r4	3	1.54643958061e-05
d1,d3,r2,r3,r4	8	4.12383888161e-05
d2,d3,d4,r3,r4	1	5.15479860202e-06
d3,r3	167	0.000860851366537
d3,d4,r1,r3	1	5.15479860202e-06
d2,r2,r4	1	5.15479860202e-06
d2,d3,d4,r1,r3	1	5.15479860202e-06
d2,d3,d4,r1,r4	1	5.15479860202e-06
d2,r2,r3	13	6.70123818262e-05
d1,d2,d4,r2,r4	1	5.15479860202e-06
d1,d2,d4,r2,r3	4	2.06191944081e-05
d1,d2,d4,r3,r4	4	2.06191944081e-05
d1,d4,r4	1	5.15479860202e-06
d1,d3,r3	222	0.00114436528965
d1,d3,r3,r4	3	1.54643958061e-05
d1,d3,r1	9	4.63931874182e-05
d1,d3,d4,r1	4	2.06191944081e-05
d1,d3,d4,r3	206	0.00106188851202
d1,d4,r2,r4	1	5.15479860202e-06
d1,d3,d4,r4	6	3.09287916121e-05
d1,d3,r1,r2,r3	3	1.54643958061e-05
d1,r1,r3	2	1.0309597204e-05
d1,d2,r2	13	6.70123818262e-05
d1,d2,d3,r1,r3,r4	1	5.15479860202e-06
d2,r2,r3,r4	1	5.15479860202e-06
d2,d3,r3	34	0.000175263152469
d2,d3,r2	1	5.15479860202e-06
d1,d2,d3,d4,r4	10	5.15479860202e-05
d4,r4	3	1.54643958061e-05
d1,d2,d3,d4,r1	17	8.76315762343e-05
d1,d2,d3,d4,r2	68	0.000350526304937
d1,d2,d3,d4,r3	830	0.00427848283968
d3,d4,r4	1	5.15479860202e-06
d3,d4,r3	43	0.000221656339887
d1,d2,d3,d4,r3,r4	8	4.12383888161e-05
d1,d2,r1	4	2.06191944081e-05
d1,d3,d4,r1,r2,r3	2	1.0309597204e-05
d1,d2,r2,r3,r4	2	1.0309597204e-05
d2,d3,r2,r3	2	1.0309597204e-05
d3,r3,r4	1	5.15479860202e-06
d1,d4,r2,r3,r4	1	5.15479860202e-06
d1,d2,d3,r1,r3	7	3.60835902141e-05
d1,d2,d3,r1,r2	1	5.15479860202e-06
d1,d3,r1,r2,r3,r4	2	1.0309597204e-05
d1,r1,r2,r3	1	5.15479860202e-06
d1,d2,d4,r2,r3,r4	2	1.0309597204e-05
d2,d3,d4,r2,r3	3	1.54643958061e-05
d1,d2,d4,r2	2	1.0309597204e-05
d2,r2	26	0.000134024763652
d1,d3,d4,r2,r4	2	1.0309597204e-05
d2,d3,d4,r3	34	0.000175263152469
d1,d3,d4,r2,r3	30	0.000154643958061
d1,d3,d4,r2,r3,r4	10	5.15479860202e-05
d4,r3,r4	1	5.15479860202e-06
d1,d2,d3,r3,r4	2	1.0309597204e-05
d1,d2,r2,r3	3	1.54643958061e-05
d1,d2,d3,d4,r1,r2	1	5.15479860202e-06
d1,d2,d3,d4,r1,r3	19	9.79411734384e-05
d1,d2,d3,d4,r2,r4	3	1.54643958061e-05
d1,d3,r1,r3	7	3.60835902141e-05
no_correspondence	191503	0.987159396682
d1,r1	5	2.57739930101e-05
d2,d4,r2	12	6.18575832242e-05
d1,d2,d3,r2,r3,r4	6	3.09287916121e-05
d3,r1,r3	10	5.15479860202e-05
d4,r2,r4	1	5.15479860202e-06
d1,d4,r1	1	5.15479860202e-06
d2,d3,r1,r3	2	1.0309597204e-05
d1,d2,d3,r1,r2,r3	2	1.0309597204e-05
d1,d2,d3,r1,r2,r3,r4	4	2.06191944081e-05
d1,d2,d3,r2,r3	34	0.000175263152469
d1,d2,d3,r2,r4	1	5.15479860202e-06
d3,d4,r2,r3	4	2.06191944081e-05
d3,d4,r2,r4	1	5.15479860202e-06
d1,d4,r3,r4	2	1.0309597204e-05
d1,d2,d3,d4,r1,r2,r3	16	8.24767776323e-05
d1,d3,r2,r3	24	0.000123715166448
d1,d2,d3,d4,r2,r3,r4	45	0.000231965937091
d1,d2,d4,r4	4	2.06191944081e-05
d1,d2,d3,r1	4	2.06191944081e-05
d1,d2,d4,r1	1	5.15479860202e-06
d1,d2,d3,r3	239	0.00123199686588
d1,d2,d3,r2	25	0.00012886996505
d1,d3,d4,r1,r3	2	1.0309597204e-05
d1,d2,d3,d4,r2,r3	167	0.000860851366537
d1,d2,d3,d4,r1,r2,r3,r4	11	5.67027846222e-05
d3,r2,r3,r4	1	5.15479860202e-06
d3,r2,r3	6	3.09287916121e-05
d1,d3,d4,r1,r2,r3,r4	1	5.15479860202e-06
