gained,gained-lost,gained-lostag,lost-gainedained-lost,lost-gained,lost,maintained,singleton
33,22,71,11,3267,30,114,22221
2,397,0,282,1,1620,4,8438
169,254,39,61,102,2743,262,16582
139,371,27,73,5,32,26,4322
96,248,7,880,54,3952,255,16794
596,101,2,718,469,38,38,21002
18,0,2,108,82,1,0,4427
180,122,200,312,970,2937,905,10393
45,12,140,27,467,79,28,10135
176,10,18,2665,327,18,8,23780
182,346,1233,84,1251,1233,79,13763
