gained,gained-lost,gained-lostag,lost-gainedained-lost,lost-gained,lost,maintained,singleton
0.00128055878929,0.000853705859527,0.00275514163756,0.000426852929763,0.12677532014,0.0011641443539,0.00442374854482,0.862281722934
0.000186133085156,0.0369474174034,0.0,0.026244765007,9.30665425779e-05,0.150767798976,0.000372266170312,0.785295486273
0.00836095582051,0.0125661702864,0.00192945134319,0.0030178597932,0.00504625735913,0.135704744471,0.0129619551774,0.820363132637
0.0278222578062,0.074259407526,0.00540432345877,0.0146116893515,0.00100080064051,0.00640512409928,0.00520416333066,0.865092073659
0.00430744380132,0.0111275631534,0.000314084443846,0.0394849015121,0.00242293713824,0.177323103154,0.0114416475973,0.753533449993
0.0259525364685,0.00439799695188,8.70890485521e-05,0.0312649684302,0.0204223818855,0.00165469192249,0.00165469192249,0.914522098846
0.00388014658332,0.0,0.000431127398146,0.0232808794999,0.017676223324,0.000215563699073,0.0,0.954300495797
0.0112359550562,0.00761548064919,0.0124843945069,0.0194756554307,0.0605493133583,0.183333333333,0.0564918851436,0.648751560549
0.00411560270715,0.00109749405524,0.0128040973111,0.00246936162429,0.0427108103164,0.007225169197,0.00256081946223,0.926925187489
0.00651779431915,0.000370329222679,0.000666592600822,0.0986927378439,0.0121097655816,0.000666592600822,0.000296263378143,0.880642891531
0.0100154083205,0.0190402817521,0.0678516398855,0.00462249614792,0.0688421747744,0.0678516398855,0.00434734756769,0.75737398195
