gained,gained-lost,gained-lostag,lost-gainedained-lost,lost-gained,lost,maintained,singleton
0.0384901352239,0.0110759873171,0.0512690136183,0.0353865562746,0.0661968925835,0.065837126863,0.123769001626,0.607970489617
0.0563290404919,0.0448472515998,0.00464537203138,0.0586316456487,0.0138424054192,0.199501102216,0.015158817282,0.607039902898
0.0174611217212,0.0294136752803,0.0083083239142,0.0250613867561,0.0312065583142,0.20690259968,0.0483104026192,0.633329435762
0.0256563587106,0.021881223643,0.0121781905351,0.0705419866778,0.049939941033,0.0919032192646,0.101034262211,0.626859618015
0.103320135012,0.0225182829201,0.0414719373404,0.00927668873599,0.0715251633563,0.0519224111818,0.167288718681,0.532671253624
0.0583895397821,0.0274445732266,0.0138433108508,0.0192568180866,0.0554058268516,0.134704631039,0.19287074146,0.498079903925
0.051690353795,0.0190384033868,0.0248684608406,0.0235198064711,0.0831871787118,0.0981191412156,0.162298155428,0.537272452374
0.0683859594825,0.0291535185397,0.0180317169828,0.0242889919059,0.0483626797284,0.0964764141105,0.178749486971,0.536544504027
0.0937047372453,0.0221902839216,0.06353422773,0.00891973358238,0.0761448855534,0.0405386512468,0.18176124194,0.513200646471
0.070294347581,0.0266021853353,0.0231987346145,0.0262422049706,0.0784284493573,0.0872897841936,0.168481719179,0.519458938603
0.14946452767,0.0182460809983,0.0376638844286,0.00901213672988,0.0501670789394,0.0422350484842,0.13345580967,0.559750611176
