{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 162134
	0	0.0
d2,d4,r3,r4	2	1.23354755943e-05
d1,d3,d4,r1	3	1.85032133914e-05
d2,d4,r2,r4	1	6.16773779713e-06
d2,d4,r2,r3	5	3.08386889857e-05
d3,r3	67	0.000413238432408
d3,d4,r1,r3	1	6.16773779713e-06
d2,d3,d4,r1,r2	8	4.9341902377e-05
d3,d4,r3,r4	4	2.46709511885e-05
d2,r2,r3	27	0.000166528920523
d2,r2	1568	0.0096710128659
d1,d2,r1,r3	2	1.23354755943e-05
d1,d2,r1,r2	471	0.00290500450245
d1,d2,d4,r2,r3	5	3.08386889857e-05
d1,d2,r1,r4	3	1.85032133914e-05
d1,d3,d4,r3,r4	1	6.16773779713e-06
d1,d2,r1,r2,r4	9	5.55096401742e-05
d1,d4,r4	4	2.46709511885e-05
d1,d3,r3	15	9.2516066957e-05
d1,d4,r2,r4	1	6.16773779713e-06
d1,d2,r1,r2,r3	26	0.000160361182725
d2,d3,d4,r3,r4	1	6.16773779713e-06
d1,d4,r1,r2	3	1.85032133914e-05
d1,d3,d4,r3	7	4.31741645799e-05
d1,d3,d4,r4	2	1.23354755943e-05
d1,d3,r1,r2,r3	5	3.08386889857e-05
d1,d2,d3,r3,r4	2	1.23354755943e-05
d1,d2,d4,r1,r2,r3,r4	24	0.000148025707131
d2,d4,r1,r2	12	7.40128535656e-05
d1,r1,r2	94	0.00057976735293
d1,r1,r3	3	1.85032133914e-05
d1,r1,r4	1	6.16773779713e-06
d1,d4,r3,r4	2	1.23354755943e-05
d2,d3,r2,r3,r4	2	1.23354755943e-05
d1,d3,r2,r3,r4	1	6.16773779713e-06
d1,d2,d3,r1,r3,r4	1	6.16773779713e-06
d2,d3,r1,r2,r3	6	3.70064267828e-05
d2,d3,r1,r2,r4	1	6.16773779713e-06
d1,d2,d4,r1,r2,r3	23	0.000141857969334
d2,d3,r3	22	0.000135690231537
d2,d3,r2	197	0.00121504434603
d4,r4	12	7.40128535656e-05
d1,d2,d3,d4,r1	32	0.000197367609508
d1,d2,d3,d4,r2	1347	0.00830794281274
d1,d2,d3,d4,r3	15	9.2516066957e-05
d3,d4,r4	3	1.85032133914e-05
d3,d4,r3	9	5.55096401742e-05
d1,d2,d3,d4,r3,r4	5	3.08386889857e-05
d2,d3,d4,r1,r3,r4	1	6.16773779713e-06
d1,d2,r1	132	0.000814141389221
d1,d3,d4,r1,r2,r3	1	6.16773779713e-06
d1,d2,r2,r3,r4	3	1.85032133914e-05
d2,d3,r2,r4	1	6.16773779713e-06
d2,d3,r2,r3	11	6.78451157684e-05
d3,d4,r1,r2,r3,r4	2	1.23354755943e-05
d3,r3,r4	1	6.16773779713e-06
d1,d2,r1,r3,r4	1	6.16773779713e-06
d1,d2,d3,d4,r1,r3,r4	1	6.16773779713e-06
d1,d2,d3,r1,r3	2	1.23354755943e-05
d1,d2,d3,r1,r2	409	0.00252260475903
d3,r1,r2,r3	4	2.46709511885e-05
d1,d3,r1,r2,r3,r4	1	6.16773779713e-06
d1,r1,r2,r3	11	6.78451157684e-05
d1,r1,r2,r4	2	1.23354755943e-05
d1,d2,d4,r2,r3,r4	4	2.46709511885e-05
d2,d3,d4,r2,r3	4	2.46709511885e-05
d1,d2,d4,r2	363	0.00223888882036
d2,r1,r2	254	0.00156660540047
d2,d3,d4,r2	63	0.000388567481219
d2,d3,d4,r3	7	4.31741645799e-05
d2,d3,d4,r4	1	6.16773779713e-06
d1,d3,d4,r2,r3	1	6.16773779713e-06
d4,r3,r4	6	3.70064267828e-05
d1,d2,r1,r2,r3,r4	15	9.2516066957e-05
d2,r1,r2,r3	19	0.000117187018145
d2,r1,r2,r4	5	3.08386889857e-05
d1,d4,r1,r2,r3,r4	1	6.16773779713e-06
d1,d2,d4,r2,r4	1	6.16773779713e-06
d2,d3,r1,r2,r3,r4	4	2.46709511885e-05
d1,d2,r2,r4	3	1.85032133914e-05
d1,d2,r2	1866	0.0115089987294
d1,d2,r2,r3	10	6.16773779713e-05
d1,d3,d4,r1,r2,r3,r4	2	1.23354755943e-05
d1,d2,d3,d4,r1,r3	5	3.08386889857e-05
d3,r1,r3	1	6.16773779713e-06
d1,d4,r2,r3,r4	1	6.16773779713e-06
d1,d3,r1,r2	19	0.000117187018145
d1,d2,d3,d4,r2,r4	6	3.70064267828e-05
no_correspondence	152083	0.938008067401
d3,d4,r1,r3,r4	2	1.23354755943e-05
d2,r2,r4	3	1.85032133914e-05
d2,r1,r2,r3,r4	11	6.78451157684e-05
d1,r1	70	0.000431741645799
d2,d4,r1,r2,r4	1	6.16773779713e-06
d2,d4,r2	67	0.000413238432408
d2,d4,r4	1	6.16773779713e-06
d2,d4,r1,r2,r3	5	3.08386889857e-05
d2,d3,d4,r1,r2,r3	4	2.46709511885e-05
d1,d2,d3,r2,r3,r4	1	6.16773779713e-06
d2,d3,d4,r1,r2,r4	1	6.16773779713e-06
d1,r1,r2,r3,r4	4	2.46709511885e-05
d4,r2,r4	1	6.16773779713e-06
d1,d2,d3,d4,r2,r3,r4	5	3.08386889857e-05
d3,r2,r3,r4	2	1.23354755943e-05
d1,d4,r1	5	3.08386889857e-05
d2,d3,r1,r3	2	1.23354755943e-05
d2,d3,r1,r2	29	0.000178864396117
d1,d2,d3,r1,r2,r4	11	6.78451157684e-05
d4,r2,r3,r4	2	1.23354755943e-05
d1,d3,r1	9	5.55096401742e-05
d1,d2,d3,r1,r2,r3	14	8.63483291598e-05
d1,d2,d3,r1,r2,r3,r4	26	0.000160361182725
d1,d2,d3,r2,r3	10	6.16773779713e-05
d1,d2,d4,r3,r4	1	6.16773779713e-06
d4,r1,r2,r3,r4	5	3.08386889857e-05
d3,d4,r2,r3	1	6.16773779713e-06
d1,d2,d4,r1,r2,r4	4	2.46709511885e-05
d3,r2,r3	10	6.16773779713e-05
d1,d3,r2,r3	4	2.46709511885e-05
d1,d2,d4,r1,r2	146	0.000900489718381
d1,d2,d4,r1,r3	3	1.85032133914e-05
d1,d2,d4,r4	1	6.16773779713e-06
d1,d2,d3,r1	55	0.000339225578842
d1,d2,d4,r1	24	0.000148025707131
d1,d2,d3,r3	11	6.78451157684e-05
d1,d2,d3,r2	1509	0.00930711633587
d2,r2,r3,r4	8	4.9341902377e-05
d1,d3,d4,r1,r2	5	3.08386889857e-05
d1,d2,d3,d4,r2,r3	14	8.63483291598e-05
d3,r1,r2,r3,r4	3	1.85032133914e-05
d1,d2,d3,d4,r1,r2,r3,r4	73	0.000450244859191
d3,d4,r2,r3,r4	1	6.16773779713e-06
d2,d4,r1,r2,r3,r4	5	3.08386889857e-05
d1,d2,d3,d4,r1,r2,r4	13	8.01805913627e-05
d1,d4,r1,r3	1	6.16773779713e-06
d3,r1,r3,r4	1	6.16773779713e-06
d1,d2,d3,d4,r1,r2,r3	45	0.000277548200871
d1,d2,d3,d4,r1,r2	523	0.0032257268679
