{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 154433
	0	0.0
d1,d2,d4,r1,r4	3	1.94258999048e-05
d1,d2,d4,r1,r2	29	0.00018778369908
d1,d2,d3,d4,r2,r3,r4	22	0.000142456599302
d1,d4,r1,r2,r4	3	1.94258999048e-05
d1,d2,d4,r4	16	0.000103604799492
d1,d2,d3,r1	143	0.000925967895463
d1,d2,d4,r1	59	0.000382042698128
d1,d2,d4,r2	33	0.000213684898953
d1,d2,d3,r2	75	0.00048564749762
d2,d3,r1,r2,r4	7	4.53270997779e-05
d1,d3,d4,r1,r3	5	3.23764998414e-05
d1,d3,d4,r1,r2	46	0.00029786379854
d1,d3,d4,r1,r4	3	1.94258999048e-05
d1,d2,d3,d4,r2,r3	42	0.000271962598667
d3,r1,r2,r3,r4	3	1.94258999048e-05
d1,d2,d3,d4,r1,r2,r3,r4	806	0.00521909177443
d3,d4,r2,r3,r4	2	1.29505999365e-05
d2,d4,r1,r2,r3,r4	2	1.29505999365e-05
d1,d2,d3,d4,r1,r2,r4	408	0.00264192238705
d3,r1,r3,r4	1	6.47529996827e-06
d1,d2,d3,d4,r1,r2,r3	427	0.00276495308645
d1,d3,d4,r1,r2,r3,r4	9	5.82776997144e-05
