#SampleID	19251414_rnatax_3
k__Bacteria	99.09639
k__Viruses	0.848
k__Archaea	0.05561
k__Bacteria|p__Bacteroidetes	71.84907
k__Bacteria|p__Firmicutes	21.03654
k__Bacteria|p__Proteobacteria	5.9581
k__Viruses|p__Viruses_noname	0.848
k__Bacteria|p__Actinobacteria	0.25269
k__Archaea|p__Euryarchaeota	0.05561
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	71.70774
k__Bacteria|p__Firmicutes|c__Clostridia	15.96227
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5.9581
k__Bacteria|p__Firmicutes|c__Negativicutes	5.07427
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.848
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.25269
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.14133
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.05561
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	71.70774
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	15.96227
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5.9581
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.07427
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.848
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.23447
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.14133
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.05561
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.01821
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	55.74587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	15.38421
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	14.44311
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	5.9581
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.62266
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	2.45161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.91758
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	0.848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.59754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.57766
