#SampleID	12289378_rnatax_2
k__Bacteria	57.32359
k__Viruses	32.87773
k__Archaea	9.79868
k__Bacteria|p__Bacteroidetes	34.36373
k__Viruses|p__Viruses_noname	32.87773
k__Bacteria|p__Firmicutes	22.74043
k__Archaea|p__Euryarchaeota	9.79868
k__Bacteria|p__Proteobacteria	0.21944
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	34.36373
k__Viruses|p__Viruses_noname|c__Viruses_noname	32.87773
k__Bacteria|p__Firmicutes|c__Clostridia	22.17987
k__Archaea|p__Euryarchaeota|c__Methanobacteria	9.79868
k__Bacteria|p__Firmicutes|c__Bacilli	0.56056
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.21944
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	34.36373
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	32.87773
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	22.17987
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	9.79868
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.5517
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21944
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00887
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	32.87773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	22.93845
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	22.17987
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	10.57555
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	9.79868
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.84972
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.5517
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.21944
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.00887
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	32.87773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	22.8083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	22.17987
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	10.57555
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	9.79868
