#SampleID	12293355_rnatax_1
k__Bacteria	85.94925
k__Archaea	10.50323
k__Viruses	3.54752
k__Bacteria|p__Bacteroidetes	46.02313
k__Bacteria|p__Proteobacteria	30.20266
k__Archaea|p__Euryarchaeota	10.50323
k__Bacteria|p__Firmicutes	6.00445
k__Bacteria|p__Verrucomicrobia	3.70117
k__Viruses|p__Viruses_noname	3.54752
k__Bacteria|p__Actinobacteria	0.01784
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	46.02313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	30.03617
k__Archaea|p__Euryarchaeota|c__Methanobacteria	10.50323
k__Bacteria|p__Firmicutes|c__Clostridia	5.03966
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.70117
k__Viruses|p__Viruses_noname|c__Viruses_noname	3.54752
k__Bacteria|p__Firmicutes|c__Negativicutes	0.96479
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.16649
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.01784
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	46.02313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	30.03617
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	10.50323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	5.03966
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.70117
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	3.54752
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.96479
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.16649
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	30.03617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	26.52882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	13.74517
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	10.50323
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.74914
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	3.70117
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae	3.54752
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.81178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.29485
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.96479
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.93303
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.16649
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.01784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	30.03617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	23.77289
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	13.74517
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	10.50323
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	5.74914
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	3.70117
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Carmovirus	3.54752
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	2.75594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	2.06265
