#SampleID	19251414_rnatax_2
k__Viruses	86.1839
k__Archaea	9.40885
k__Bacteria	4.38512
k__Eukaryota	0.02214
k__Viruses|p__Viruses_noname	86.1839
k__Archaea|p__Euryarchaeota	9.40885
k__Bacteria|p__Bacteroidetes	3.36525
k__Bacteria|p__Firmicutes	0.97607
k__Bacteria|p__Verrucomicrobia	0.04379
k__Eukaryota|p__Ascomycota	0.02214
k__Viruses|p__Viruses_noname|c__Viruses_noname	86.1839
k__Archaea|p__Euryarchaeota|c__Methanobacteria	9.40885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.36525
k__Bacteria|p__Firmicutes|c__Clostridia	0.92346
k__Bacteria|p__Firmicutes|c__Negativicutes	0.05012
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.04379
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.02214
k__Bacteria|p__Firmicutes|c__Bacilli	0.00249
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	86.1839
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	9.40885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.36525
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.92346
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.05012
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.04379
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.02214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00249
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	85.66905
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	9.40885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.60282
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.13152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.71568
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.51452
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.39841
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.11639
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.10181
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae	0.10076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.05829
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.04379
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.03996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.02777
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.02214
