#SampleID	12656695_rnatax_1
k__Viruses	42.87264
k__Bacteria	30.55787
k__Archaea	18.42721
k__Viroids	7.811
k__Eukaryota	0.33128
k__Viruses|p__Viruses_noname	42.87264
k__Bacteria|p__Bacteroidetes	20.6577
k__Archaea|p__Euryarchaeota	18.42721
k__Viroids|p__Viroids_noname	7.811
k__Bacteria|p__Firmicutes	6.96832
k__Bacteria|p__Proteobacteria	1.53462
k__Bacteria|p__Verrucomicrobia	1.3865
k__Eukaryota|p__Ascomycota	0.33128
k__Bacteria|p__Actinobacteria	0.01072
k__Viruses|p__Viruses_noname|c__Viruses_noname	42.87264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	20.61742
k__Archaea|p__Euryarchaeota|c__Methanobacteria	18.42721
k__Viroids|p__Viroids_noname|c__Viroids_noname	7.811
k__Bacteria|p__Firmicutes|c__Clostridia	6.49121
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.3865
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.17117
k__Bacteria|p__Firmicutes|c__Bacilli	0.45912
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.36346
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.32614
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.04028
k__Bacteria|p__Firmicutes|c__Negativicutes	0.01799
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.01072
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes	0.00514
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	42.71126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	20.61742
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	18.42721
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	7.811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	6.49121
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.3865
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.17117
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.36346
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.35198
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.32614
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.16138
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.10714
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.04028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.01799
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01072
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales	0.00514
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	40.76163
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	18.42721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	12.17196
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae	7.811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.45311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.20799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.48451
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	1.94962
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.41003
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	1.3865
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.17117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.52822
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.44063
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.36346
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.35198
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.32614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.31234
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae	0.16138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.09984
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.09561
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.04028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.01799
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae	0.01153
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.01072
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae	0.00514
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	40.76163
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	18.42721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	11.12488
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae|g__Hostuviroid	7.811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	4.31024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	4.20799
