#SampleID	11715866_rnatax_4
k__Bacteria	57.6536
k__Archaea	29.59652
k__Viruses	12.74988
k__Bacteria|p__Bacteroidetes	33.81585
k__Archaea|p__Euryarchaeota	29.59652
k__Viruses|p__Viruses_noname	12.74988
k__Bacteria|p__Verrucomicrobia	12.52032
k__Bacteria|p__Firmicutes	11.11632
k__Bacteria|p__Acidobacteria	0.20111
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	33.81585
k__Archaea|p__Euryarchaeota|c__Methanobacteria	29.59652
k__Viruses|p__Viruses_noname|c__Viruses_noname	12.74988
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	12.52032
k__Bacteria|p__Firmicutes|c__Clostridia	10.87745
k__Bacteria|p__Firmicutes|c__Bacilli	0.23887
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.20111
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	33.81585
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	29.59652
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	12.52032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.87745
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	9.52684
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	3.22304
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.23887
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.20111
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	29.59652
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	20.71924
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	13.08613
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	12.52032
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae	9.38415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	6.92764
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.48493
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae	3.22304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.46488
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.23887
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.20111
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.14269
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.01049
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	29.59652
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	20.71924
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	12.52032
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae|g__Polerovirus	9.38415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	6.92764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	6.52914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	5.36062
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae|g__Nepovirus	3.22304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	2.57993
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	1.19637
