#SampleID	11715866_rnatax_3
k__Viruses	51.25215
k__Bacteria	33.72454
k__Archaea	15.02331
k__Viruses|p__Viruses_noname	51.25215
k__Bacteria|p__Bacteroidetes	21.81394
k__Archaea|p__Euryarchaeota	15.02331
k__Bacteria|p__Verrucomicrobia	7.66463
k__Bacteria|p__Firmicutes	3.27135
k__Bacteria|p__Proteobacteria	0.7914
k__Bacteria|p__Acidobacteria	0.11721
k__Bacteria|p__Actinobacteria	0.06602
k__Viruses|p__Viruses_noname|c__Viruses_noname	51.25215
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	21.81394
k__Archaea|p__Euryarchaeota|c__Methanobacteria	15.02331
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	7.66463
k__Bacteria|p__Firmicutes|c__Clostridia	2.97039
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.49415
k__Bacteria|p__Firmicutes|c__Bacilli	0.30095
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.29725
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.11721
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.06602
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	51.25215
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	21.81394
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	15.02331
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	7.66463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.97039
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.49415
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.30095
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.29725
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.11721
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.06602
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	34.7817
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae	16.47045
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	15.02331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	12.30198
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	9.10035
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	7.66463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.92114
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.49415
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.41161
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.30095
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.26638
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.11721
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.06602
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.04925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.03087
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	34.7817
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae|g__Polerovirus	16.47045
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	15.02331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	12.30198
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	8.18303
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	7.66463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	1.96306
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.74513
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.59724
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.49415
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.41161
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.32008
