#SampleID	19251414_rnatax_1
k__Viruses	70.20024
k__Bacteria	18.26309
k__Archaea	11.53667
k__Viruses|p__Viruses_noname	70.20024
k__Bacteria|p__Bacteroidetes	16.05715
k__Archaea|p__Euryarchaeota	11.53667
k__Bacteria|p__Firmicutes	2.20594
k__Viruses|p__Viruses_noname|c__Viruses_noname	70.20024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.05715
k__Archaea|p__Euryarchaeota|c__Methanobacteria	11.53667
k__Bacteria|p__Firmicutes|c__Clostridia	1.99806
k__Bacteria|p__Firmicutes|c__Negativicutes	0.20787
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	70.20024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.05715
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	11.53667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.99806
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.20787
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	69.3956
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	11.53667
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8.69304
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.35855
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.67859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.36371
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.80464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.45509
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.32698
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.20787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.09622
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.08305
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	69.3956
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	11.53667
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	8.33994
