#SampleID	12289378_rnatax_3
k__Viruses	81.55987
k__Bacteria	18.44013
k__Viruses|p__Viruses_noname	81.55987
k__Bacteria|p__Firmicutes	11.35284
k__Bacteria|p__Bacteroidetes	6.59974
k__Bacteria|p__Verrucomicrobia	0.23572
k__Bacteria|p__Proteobacteria	0.14589
k__Bacteria|p__Actinobacteria	0.10594
k__Viruses|p__Viruses_noname|c__Viruses_noname	81.55987
k__Bacteria|p__Firmicutes|c__Clostridia	11.33956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	6.59974
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.23572
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.10594
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.08254
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.06336
k__Bacteria|p__Firmicutes|c__Negativicutes	0.00893
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00434
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	81.47355
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	11.33956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	6.59974
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.23572
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.08632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.08254
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.08245
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.06336
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0235
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00893
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00434
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	81.29326
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5.92664
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.78263
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.84082
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.46861
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.4139
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	1.4032
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.23572
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Endornaviridae	0.18029
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae	0.08632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.08254
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.08245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.06347
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.05609
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.03498
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0235
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.00893
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.00726
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.00504
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.00434
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	81.29326
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	5.92664
