#SampleID	11507229_rnatax_3
k__Bacteria	85.83964
k__Viruses	13.74491
k__Eukaryota	0.41545
k__Bacteria|p__Bacteroidetes	66.3214
k__Bacteria|p__Firmicutes	15.29262
k__Viruses|p__Viruses_noname	13.74491
k__Bacteria|p__Proteobacteria	2.86127
k__Bacteria|p__Actinobacteria	1.36435
k__Eukaryota|p__Ascomycota	0.41545
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66.3214
k__Bacteria|p__Firmicutes|c__Clostridia	15.29262
k__Viruses|p__Viruses_noname|c__Viruses_noname	13.74491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.64936
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.36435
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.41545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.21191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	66.3214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	15.29262
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	13.74491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2.64936
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.36435
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.41545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	36.72665
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	22.95948
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Narnaviridae	13.10591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	10.08904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	6.63527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	4.19409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2.64936
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.36435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.96352
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	0.639
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.41545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.21191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.04598
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	24.01103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	22.95948
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Narnaviridae|g__Narnavirus	13.10591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	12.71563
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	7.42137
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	6.63527
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	2.64936
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	2.15055
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1.54116
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.36435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	1.01169
