#SampleID	10042055_rnatax_3
k__Bacteria	52.70968
k__Viruses	42.63899
k__Archaea	4.65133
k__Bacteria|p__Bacteroidetes	48.91861
k__Viruses|p__Viruses_noname	42.63899
k__Archaea|p__Euryarchaeota	4.65133
k__Bacteria|p__Firmicutes	3.79107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	48.91861
k__Viruses|p__Viruses_noname|c__Viruses_noname	42.63899
k__Archaea|p__Euryarchaeota|c__Methanobacteria	4.65133
k__Bacteria|p__Firmicutes|c__Clostridia	3.79107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	48.91861
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	42.63899
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	4.65133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.79107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	47.71272
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae	42.63899
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	4.65133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.79107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.82938
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.37651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	45.74041
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Carmovirus	42.63899
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	4.65133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	3.79107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	1.79144
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.82938
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.37651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.18087
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Carmovirus|s__Melon_necrotic_spot_virus	42.63899
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	42.08187
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	4.64047
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	3.79107
