#SampleID	10042055_rnatax_4
k__Bacteria	89.24699
k__Viruses	5.43672
k__Archaea	5.31629
k__Bacteria|p__Bacteroidetes	80.28121
k__Bacteria|p__Firmicutes	7.22023
k__Viruses|p__Viruses_noname	5.43672
k__Archaea|p__Euryarchaeota	5.31629
k__Bacteria|p__Proteobacteria	1.57465
k__Bacteria|p__Actinobacteria	0.15891
k__Bacteria|p__Deinococcus_Thermus	0.01199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.245
k__Bacteria|p__Firmicutes|c__Clostridia	7.18785
k__Viruses|p__Viruses_noname|c__Viruses_noname	5.43672
k__Archaea|p__Euryarchaeota|c__Methanobacteria	5.31629
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.19745
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.3772
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.15891
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.03621
k__Bacteria|p__Firmicutes|c__Bacilli	0.03238
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.01199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.245
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	7.18785
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	5.43672
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	5.31629
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.19745
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.3772
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.15891
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.03621
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.03238
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.01199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	69.84085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	6.09308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.425
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	5.37828
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	5.31629
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.02284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.49213
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	1.19745
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.28822
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.20957
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.16763
