#SampleID	11507229_rnatax_2
k__Viruses	66.38351
k__Bacteria	27.37958
k__Viroids	6.20748
k__Archaea	0.02943
k__Viruses|p__Viruses_noname	66.38351
k__Bacteria|p__Bacteroidetes	19.64409
k__Viroids|p__Viroids_noname	6.20748
k__Bacteria|p__Firmicutes	4.83941
k__Bacteria|p__Proteobacteria	2.57839
k__Bacteria|p__Actinobacteria	0.16323
k__Bacteria|p__Verrucomicrobia	0.15447
k__Archaea|p__Euryarchaeota	0.02943
k__Viruses|p__Viruses_noname|c__Viruses_noname	66.38351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	19.64409
k__Viroids|p__Viroids_noname|c__Viroids_noname	6.20748
k__Bacteria|p__Firmicutes|c__Clostridia	4.83941
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.2964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.28199
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.16323
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.15447
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.02943
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	66.38351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	19.64409
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	6.20748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.83941
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1.2964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.28199
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.16323
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.15447
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.02943
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	66.33824
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8.08559
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae	6.20748
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	6.14234
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	5.41617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.64099
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.88832
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1.2964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.2415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.3101
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.16323
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.15447
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.04527
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.02987
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.02943
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.01062
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	66.33824
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	6.74915
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae|g__Apscaviroid	6.20748
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	6.14234
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	5.41617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	1.62229
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	1.50053
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	1.33643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	1.2964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	1.2415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.74807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.3101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.30232
